Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,106783,0,0,0,0,0,0,0
0,106783,1,6895,0,3145728,12884901888,0,0
1,106783,0,0,0,0,0,0,0
1,106783,1,6895,0,3145728,12884901888,0,0
2,106783,0,0,0,0,0,0,0
2,106783,1,6895,0,3145728,12884901888,0,0
3,106783,0,0,0,0,0,0,0
3,106783,1,6895,0,3145728,12884901888,0,0
4,106783,0,0,0,0,0,0,0
4,106783,1,6895,0,3145728,12884901888,0,0
5,106783,0,0,0,0,0,0,0
5,106783,1,6895,0,3145728,12884901888,0,0
6,106783,0,0,0,0,0,0,0
6,106783,1,6895,0,3145728,12884901888,0,0
7,106783,0,0,0,0,0,0,0
7,106783,1,6895,0,3145728,12884901888,0,0
8,106783,0,0,0,0,0,0,0
8,106783,1,6895,0,3145728,12884901888,0,0
9,106783,0,0,0,0,0,0,0
9,106783,1,6895,0,3145728,12884901888,0,0
10,106783,0,0,0,0,0,0,0
10,106783,1,6895,0,3145728,12884901888,0,0
11,106783,0,0,0,0,0,0,0
11,106783,1,6895,0,3145728,12884901888,0,0
12,106783,0,0,0,0,0,0,0
12,106783,1,6895,0,3145728,12884901888,0,0
13,106783,0,0,0,0,0,0,0
13,106783,1,6895,0,3145728,12884901888,0,0
14,106783,0,0,0,0,0,0,0
14,106783,1,6895,0,3145728,12884901888,0,0
15,106783,0,0,0,0,0,0,0
15,106783,1,6895,0,3145728,12884901888,0,0
16,106783,0,0,0,0,0,0,0
16,106783,1,6895,0,3145728,12884901888,0,0
17,106783,0,0,0,0,0,0,0
17,106783,1,6895,0,3145728,12884901888,0,0
18,106894,0,0,0,0,0,0,0
18,106894,1,0,0,0,0,0,0
18,106783,0,0,0,0,0,0,0
18,106783,1,6895,0,3145728,12884901888,0,0
19,106894,0,0,0,0,0,0,0
19,106894,1,33327,0,128000,524288000,0,0
19,106783,0,0,0,0,0,0,0
19,106783,1,6895,0,3145728,12884901888,0,0
20,106894,0,0,0,0,0,0,0
20,106894,1,33327,0,128000,524288000,0,0
20,106783,0,0,0,0,0,0,0
20,106783,1,6895,0,3145728,12884901888,0,0
21,106894,0,0,0,0,0,0,0
21,106894,1,33327,0,128000,524288000,0,0
21,106783,0,0,0,0,0,0,0
21,106783,1,6895,0,3145728,12884901888,0,0
22,106894,0,0,0,0,0,0,0
22,106894,1,66276,0,256000,1048576000,0,0
22,106783,0,0,0,0,0,0,0
22,106783,1,6895,0,3145728,12884901888,0,0
23,106894,0,0,0,0,0,0,0
23,106894,1,66276,0,256000,1048576000,0,0
23,106783,0,0,0,0,0,0,0
23,106783,1,6895,0,3145728,12884901888,0,0
24,106894,0,0,0,0,0,0,0
24,106894,1,66276,0,256000,1048576000,0,0
24,106783,0,0,0,0,0,0,0
24,106783,1,6895,0,3145728,12884901888,0,0
25,106894,0,0,0,0,0,0,0
25,106894,1,100075,0,384000,1572864000,0,0
25,106783,0,0,0,0,0,0,0
25,106783,1,6895,0,3145728,12884901888,0,0
26,106894,0,0,0,0,0,0,0
26,106894,1,100075,0,384000,1572864000,0,0
26,106783,0,0,0,0,0,0,0
26,106783,1,6895,0,3145728,12884901888,0,0
27,106894,0,0,0,0,0,0,0
27,106894,1,100075,0,384000,1572864000,0,0
27,106783,0,0,0,0,0,0,0
27,106783,1,6895,0,3145728,12884901888,0,0
28,106894,0,0,0,0,0,0,0
28,106894,1,133189,0,512000,2097152000,0,0
28,106783,0,0,0,0,0,0,0
28,106783,1,6895,0,3145728,12884901888,0,0
29,106894,0,0,0,0,0,0,0
29,106894,1,133189,0,512000,2097152000,0,0
29,106783,0,0,0,0,0,0,0
29,106783,1,6895,0,3145728,12884901888,0,0
30,106894,0,0,0,0,0,0,0
30,106894,1,133189,0,512000,2097152000,0,0
30,106783,0,0,0,0,0,0,0
30,106783,1,6895,0,3145728,12884901888,0,0
31,106894,0,0,0,0,0,0,0
31,106894,1,166963,0,640000,2621440000,0,0
31,106783,0,0,0,0,0,0,0
31,106783,1,6895,0,3145728,12884901888,0,0
32,106894,0,0,0,0,0,0,0
32,106894,1,166963,0,640000,2621440000,0,0
32,106783,0,0,0,0,0,0,0
32,106783,1,6895,0,3145728,12884901888,0,0
33,106894,0,0,0,0,0,0,0
33,106894,1,166963,0,640000,2621440000,0,0
33,106783,0,0,0,0,0,0,0
33,106783,1,6895,0,3145728,12884901888,0,0
34,106894,0,0,0,0,0,0,0
34,106894,1,201357,0,768000,3145728000,0,0
34,106783,0,0,0,0,0,0,0
