Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,112811,0,0,0,0,0,0,0
0,112811,1,0,0,0,0,0,0
1,112811,0,0,0,0,0,0,0
1,112811,1,177886,0,1048576,4294967296,0,0
2,112811,0,0,0,0,0,0,0
2,112811,1,177886,0,1048576,4294967296,0,0
3,112811,0,0,0,0,0,0,0
3,112811,1,177886,0,1048576,4294967296,0,0
4,112811,0,0,0,0,0,0,0
4,112811,1,177886,0,1048576,4294967296,0,0
5,112811,0,0,0,0,0,0,0
5,112811,1,177886,0,1048576,4294967296,0,0
6,112811,0,0,0,0,0,0,0
6,112811,1,177886,0,1048576,4294967296,0,0
7,112811,0,0,0,0,0,0,0
7,112811,1,177886,0,1048576,4294967296,0,0
8,112811,0,0,0,0,0,0,0
8,112811,1,177886,0,1048576,4294967296,0,0
9,112811,0,0,0,0,0,0,0
9,112811,1,177886,0,1048576,4294967296,0,0
10,112811,0,0,0,0,0,0,0
10,112811,1,177886,0,1048576,4294967296,0,0
11,112811,0,0,0,0,0,0,0
11,112811,1,177886,0,1048576,4294967296,0,0
12,112811,0,0,0,0,0,0,0
12,112811,1,177886,0,1048576,4294967296,0,0
13,112821,0,0,0,0,0,0,0
13,112821,1,34352,0,128000,524288000,0,0
13,112811,0,0,0,0,0,0,0
13,112811,1,177886,0,1048576,4294967296,0,0
14,112821,0,0,0,0,0,0,0
14,112821,1,34352,0,128000,524288000,0,0
14,112811,0,0,0,0,0,0,0
14,112811,1,177886,0,1048576,4294967296,0,0
15,112821,0,0,0,0,0,0,0
15,112821,1,34352,0,128000,524288000,0,0
15,112811,0,0,0,0,0,0,0
15,112811,1,177886,0,1048576,4294967296,0,0
16,112821,0,0,0,0,0,0,0
16,112821,1,67286,0,256000,1048576000,0,0
16,112811,0,0,0,0,0,0,0
16,112811,1,177886,0,1048576,4294967296,0,0
17,112821,0,0,0,0,0,0,0
17,112821,1,67286,0,256000,1048576000,0,0
17,112811,0,0,0,0,0,0,0
17,112811,1,177886,0,1048576,4294967296,0,0
18,112821,0,0,0,0,0,0,0
18,112821,1,67286,0,256000,1048576000,0,0
18,112811,0,0,0,0,0,0,0
18,112811,1,177886,0,1048576,4294967296,0,0
19,112821,0,0,0,0,0,0,0
19,112821,1,101156,0,384000,1572864000,0,0
19,112811,0,0,0,0,0,0,0
19,112811,1,177886,0,1048576,4294967296,0,0
20,112821,0,0,0,0,0,0,0
20,112821,1,101156,0,384000,1572864000,0,0
20,112811,0,0,0,0,0,0,0
20,112811,1,177886,0,1048576,4294967296,0,0
21,112821,0,0,0,0,0,0,0
21,112821,1,101156,0,384000,1572864000,0,0
21,112811,0,0,0,0,0,0,0
21,112811,1,177886,0,1048576,4294967296,0,0
22,112821,0,0,0,0,0,0,0
22,112821,1,133170,0,512000,2097152000,0,0
22,112811,0,0,0,0,0,0,0
22,112811,1,177886,0,1048576,4294967296,0,0
23,112821,0,0,0,0,0,0,0
23,112821,1,133170,0,512000,2097152000,0,0
23,112811,0,0,0,0,0,0,0
23,112811,1,177886,0,1048576,4294967296,0,0
24,112821,0,0,0,0,0,0,0
24,112821,1,133170,0,512000,2097152000,0,0
24,112811,0,0,0,0,0,0,0
24,112811,1,177886,0,1048576,4294967296,0,0
25,112821,0,0,0,0,0,0,0
25,112821,1,167352,0,640000,2621440000,0,0
25,112811,0,0,0,0,0,0,0
25,112811,1,177886,0,1048576,4294967296,0,0
26,112821,0,0,0,0,0,0,0
26,112821,1,167352,0,640000,2621440000,0,0
26,112811,0,0,0,0,0,0,0
26,112811,1,177886,0,1048576,4294967296,0,0
27,112821,0,0,0,0,0,0,0
27,112821,1,167352,0,640000,2621440000,0,0
27,112811,0,0,0,0,0,0,0
27,112811,1,177886,0,1048576,4294967296,0,0
28,112821,0,0,0,0,0,0,0
28,112821,1,200453,0,768000,3145728000,0,0
28,112811,0,0,0,0,0,0,0
28,112811,1,177886,0,1048576,4294967296,0,0
29,112821,0,0,0,0,0,0,0
29,112821,1,200453,0,768000,3145728000,0,0
29,112811,0,0,0,0,0,0,0
29,112811,1,177886,0,1048576,4294967296,0,0
30,112821,0,0,0,0,0,0,0
30,112821,1,200453,0,768000,3145728000,0,0
30,112811,0,0,0,0,0,0,0
30,112811,1,177886,0,1048576,4294967296,0,0
31,112821,0,0,0,0,0,0,0
31,112821,1,200453,0,768000,3145728000,0,0
31,112811,0,0,0,9648,484442112,0,0
31,112811,1,216008,10176,1513936,12677283840,0,0
32,112821,0,0,0,0,0,0,0
32,112821,1,214305,0,823296,3372220416,226492416,0
32,112811,0,0,0,163890,5882511360,0,0
32,112811,1,273736,293136,1956366,12450791424,0,0
33,112821,0,0,0,0,0,0,0
33,112821,1,224758,0,859424,3537895424,392167424,0
33,112811,0,0,0,740224,9858711552,0,0
33,112811,1,317936,1055584,2178944,12285116416,0,0
34,112821,0,0,0,0,0,0,0
34,112821,1,233259,0,896000,3670016000,524288000,0
34,112811,0,0,0,1353200,12467568640,0,0
34,112811,1,351815,2042624,2069568,12152995840,0,0
35,112821,0,0,0,0,0,0,0
35,112821,1,233259,0,896000,3670016000,524288000,0
35,112811,0,0,0,1714368,12876513280,0,0
35,112811,1,385421,2911504,1897766,12152995840,0,0
36,112821,0,0,0,0,0,0,0
36,112821,1,233259,0,896000,3670016000,524288000,0
36,112811,0,0,0,1826288,12884901888,0,0
36,112811,1,418192,3623344,1921904,12152995840,0,0
37,112821,0,0,0,0,0,0,0
37,112821,1,233259,0,896000,3670016000,524288000,0
37,112811,0,0,0,1925584,12884901888,0,0
37,112811,1,448879,4363856,1940896,12150898688,0,0
38,112821,0,0,0,0,0,0,0
38,112821,1,233259,0,896000,3670016000,524288000,0
38,112811,0,0,0,2009568,12884901888,0,0
38,112811,1,482208,5116592,1928144,12152995840,0,0
39,112821,0,0,0,0,0,0,0
39,112821,1,242025,0,930432,3829399552,683671552,0
39,112811,0,0,0,2197455,12884901888,0,0
39,112811,1,511839,5915248,1788112,11993612288,0,0
40,112821,0,0,0,0,0,0,0
40,112821,1,246979,0,951296,3896508416,750780416,0
40,112811,0,0,0,2275088,12884901888,0,0
40,112811,1,543603,6653008,1757280,11926503424,0,0
41,112821,0,0,0,0,0,0,0
41,112821,1,256747,0,987424,4060086272,914358272,0
41,112811,0,0,0,2457280,12884901888,0,0
41,112811,1,575177,7429200,1603200,11762925568,0,0
42,112821,0,0,0,0,0,0,0
42,112821,1,261983,0,1006592,4123000832,977272832,0
42,112811,0,0,0,2505712,12884901888,0,0
42,112811,1,611859,8122880,1578976,11700011008,0,0
43,112821,0,0,0,0,0,0,0
43,112821,1,265203,0,1024000,4194304000,1048576000,0
43,112811,0,0,0,2569472,12884901888,0,0
43,112811,1,650970,8818256,1530608,11628707840,0,0
44,112821,0,0,0,0,0,0,0
44,112821,1,265203,0,1024000,4194304000,1048576000,0
44,112811,0,0,0,2576501,12884901888,0,0
44,112811,1,687189,9443168,1538224,11628707840,0,0
45,112821,0,0,0,0,0,0,0
45,112821,1,265203,0,1024000,4194304000,1048576000,0
45,112811,0,0,0,2546096,12884901888,0,0
45,112811,1,723989,10057648,1582896,11628707840,0,0
46,112821,0,0,0,0,0,0,0
46,112821,1,265203,0,1024000,4194304000,1048576000,0
46,112811,0,0,0,2520880,12884901888,0,0
46,112811,1,763543,10696896,1618624,11628707840,0,0
47,112821,0,0,0,0,0,0,0
47,112821,1,265203,0,1024000,4194304000,1048576000,0
47,112811,0,0,0,2470960,12884901888,0,0
47,112811,1,806591,11349392,1678800,11628707840,0,0
48,112821,0,0,0,0,0,0,0
48,112821,1,274836,0,1059136,4351590400,1205862400,0
48,112811,0,0,0,2526201,12884901888,0,0
48,112811,1,843869,12045008,1631536,11471421440,0,0
49,112821,0,0,0,0,0,0,0
49,112821,1,289620,0,1115520,4582277120,1436549120,0
49,112811,0,0,0,2613824,12884901888,0,0
49,112811,1,881783,12742480,1550208,11240734720,0,0
50,112821,0,0,0,0,0,0,0
50,112821,1,294870,0,1134592,4647288832,1501560832,0
50,112811,0,0,0,2675120,12884901888,0,0
50,112811,1,921366,13427648,1493712,11175723008,0,0
51,112821,0,0,0,0,0,0,0
51,112821,1,297765,0,1152000,4718592000,1572864000,0
51,112811,0,0,0,2712688,12884901888,0,0
51,112811,1,958694,14093296,1459984,11104419840,0,0
52,112821,0,0,0,0,0,0,0
52,112821,1,297765,0,1152000,4718592000,1572864000,0
52,112811,0,0,0,2755088,12884901888,0,0
52,112811,1,997948,14760608,1420960,11102322688,0,0
53,112821,0,0,0,0,0,0,0
53,112821,1,297765,0,1152000,4718592000,1572864000,0
53,112811,0,0,0,2697840,12884901888,0,0
53,112811,1,1037352,15325824,1480592,11104419840,0,0
54,112821,0,0,0,0,0,0,0
54,112821,1,297765,0,1152000,4718592000,1572864000,0
54,112811,0,0,0,2699888,12884901888,0,0
54,112811,1,1074873,15938336,1480688,11104419840,0,0
55,112821,0,0,0,0,0,0,0
55,112821,1,297765,0,1152000,4718592000,1572864000,0
55,112811,0,0,0,2668160,12884901888,0,0
55,112811,1,1110051,16559824,1514400,11104419840,0,0
56,112821,0,0,0,0,0,0,0
56,112821,1,307197,0,1186496,4882169856,1736441856,0
56,112811,0,0,0,2715648,12884901888,0,0
56,112811,1,1145710,17238192,1467904,10940841984,0,0
57,112821,0,0,0,0,0,0,0
57,112821,1,312527,0,1207296,4945084416,1799356416,0
57,112811,0,0,0,2732368,12884901888,0,0
57,112811,1,1184309,17894256,1452384,10877927424,0,0
58,112821,0,0,0,0,0,0,0
58,112821,1,322798,0,1243296,5106565120,1960837120,0
58,112811,0,0,0,2779776,12884901888,0,0
58,112811,1,1222864,18558096,1406080,10716446720,0,0
59,112821,0,0,0,0,0,0,0
59,112821,1,328174,0,1262592,5171576832,2025848832,0
59,112811,0,0,0,2813968,12884901888,0,0
59,112811,1,1262905,19210016,1372976,10651435008,0,0
60,112821,0,0,0,0,0,0,0
60,112821,1,331578,0,1280000,5242880000,2097152000,0
60,112811,0,0,0,2837680,12884901888,0,0
60,112811,1,1305374,19848352,1350240,10580131840,0,0
61,112821,0,0,0,0,0,0,0
61,112821,1,331578,0,1280000,5242880000,2097152000,0
61,112811,0,0,0,2871824,12884901888,0,0
61,112811,1,1348579,20484496,1316624,10580131840,0,0
62,112821,0,0,0,0,0,0,0
62,112821,1,331578,0,1280000,5242880000,2097152000,0
62,112811,0,0,0,2803424,12884901888,0,0
62,112811,1,1386330,21025728,1386032,10580131840,0,0
63,112821,0,0,0,0,0,0,0
63,112821,1,331578,0,1280000,5242880000,2097152000,0
63,112811,0,0,0,2784048,12884901888,0,0
63,112811,1,1424135,21630048,1405968,10580131840,0,0
64,112821,0,0,0,0,0,0,0
64,112821,1,331578,0,1280000,5242880000,2097152000,0
