Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,114542,0,0,0,0,0,0,0
0,114542,1,178292,0,1048576,4294967296,0,0
1,114542,0,0,0,0,0,0,0
1,114542,1,178292,0,1048576,4294967296,0,0
2,114542,0,0,0,0,0,0,0
2,114542,1,178292,0,1048576,4294967296,0,0
3,114542,0,0,0,0,0,0,0
3,114542,1,178292,0,1048576,4294967296,0,0
4,114542,0,0,0,0,0,0,0
4,114542,1,178292,0,1048576,4294967296,0,0
5,114542,0,0,0,0,0,0,0
5,114542,1,178292,0,1048576,4294967296,0,0
6,114542,0,0,0,0,0,0,0
6,114542,1,178292,0,1048576,4294967296,0,0
7,114542,0,0,0,0,0,0,0
7,114542,1,178292,0,1048576,4294967296,0,0
8,114542,0,0,0,0,0,0,0
8,114542,1,178292,0,1048576,4294967296,0,0
9,114542,0,0,0,0,0,0,0
9,114542,1,178292,0,1048576,4294967296,0,0
10,114542,0,0,0,0,0,0,0
10,114542,1,178292,0,1048576,4294967296,0,0
11,114542,0,0,0,0,0,0,0
11,114542,1,178292,0,1048576,4294967296,0,0
12,114542,0,0,0,0,0,0,0
12,114542,1,178292,0,1048576,4294967296,0,0
13,114542,0,0,0,0,0,0,0
13,114542,1,178292,0,1048576,4294967296,0,0
14,114542,0,0,0,0,0,0,0
14,114542,1,178292,0,1048576,4294967296,0,0
15,114551,0,0,0,0,0,0,0
15,114551,1,34085,0,128000,524288000,0,0
15,114542,0,0,0,0,0,0,0
15,114542,1,178292,0,1048576,4294967296,0,0
16,114551,0,0,0,0,0,0,0
16,114551,1,34085,0,128000,524288000,0,0
16,114542,0,0,0,0,0,0,0
16,114542,1,178292,0,1048576,4294967296,0,0
17,114551,0,0,0,0,0,0,0
17,114551,1,34085,0,128000,524288000,0,0
17,114542,0,0,0,0,0,0,0
17,114542,1,178292,0,1048576,4294967296,0,0
18,114551,0,0,0,0,0,0,0
18,114551,1,67013,0,256000,1048576000,0,0
18,114542,0,0,0,0,0,0,0
18,114542,1,178292,0,1048576,4294967296,0,0
19,114551,0,0,0,0,0,0,0
19,114551,1,67013,0,256000,1048576000,0,0
19,114542,0,0,0,0,0,0,0
19,114542,1,178292,0,1048576,4294967296,0,0
20,114551,0,0,0,0,0,0,0
20,114551,1,67013,0,256000,1048576000,0,0
20,114542,0,0,0,0,0,0,0
20,114542,1,178292,0,1048576,4294967296,0,0
21,114551,0,0,0,0,0,0,0
21,114551,1,99670,0,384000,1572864000,0,0
21,114542,0,0,0,0,0,0,0
21,114542,1,178292,0,1048576,4294967296,0,0
22,114551,0,0,0,0,0,0,0
22,114551,1,99670,0,384000,1572864000,0,0
22,114542,0,0,0,0,0,0,0
22,114542,1,178292,0,1048576,4294967296,0,0
23,114551,0,0,0,0,0,0,0
23,114551,1,99670,0,384000,1572864000,0,0
23,114542,0,0,0,0,0,0,0
23,114542,1,178292,0,1048576,4294967296,0,0
24,114551,0,0,0,0,0,0,0
24,114551,1,131575,0,512000,2097152000,0,0
24,114542,0,0,0,0,0,0,0
24,114542,1,178292,0,1048576,4294967296,0,0
25,114551,0,0,0,0,0,0,0
25,114551,1,131575,0,512000,2097152000,0,0
25,114542,0,0,0,0,0,0,0
25,114542,1,178292,0,1048576,4294967296,0,0
26,114551,0,0,0,0,0,0,0
26,114551,1,131575,0,512000,2097152000,0,0
26,114542,0,0,0,0,0,0,0
26,114542,1,178292,0,1048576,4294967296,0,0
27,114551,0,0,0,0,0,0,0
27,114551,1,165059,0,640000,2621440000,0,0
27,114542,0,0,0,0,0,0,0
27,114542,1,178292,0,1048576,4294967296,0,0
28,114551,0,0,0,0,0,0,0
28,114551,1,165059,0,640000,2621440000,0,0
28,114542,0,0,0,0,0,0,0
28,114542,1,178292,0,1048576,4294967296,0,0
29,114551,0,0,0,0,0,0,0
29,114551,1,165059,0,640000,2621440000,0,0
29,114542,0,0,0,0,0,0,0
29,114542,1,178292,0,1048576,4294967296,0,0
30,114551,0,0,0,0,0,0,0
30,114551,1,196956,0,768000,3145728000,0,0
30,114542,0,0,0,0,0,0,0
30,114542,1,180397,0,1080784,3355443200,0,0
31,114551,0,0,0,0,0,0,0
31,114551,1,196956,0,768000,3145728000,0,0
31,114542,0,0,0,185824,8407482368,0,0
31,114542,1,200997,185824,1196752,8371830784,0,0
32,114551,0,0,0,0,0,0,0
32,114551,1,196956,0,768000,3145728000,0,0
32,114542,0,0,0,566144,12673089536,0,0
32,114542,1,236516,593920,1245712,8371830784,0,0
33,114551,0,0,0,0,0,0,0
33,114551,1,196956,0,768000,3145728000,0,0
33,114542,0,0,0,738736,12884901888,0,0
33,114542,1,279261,1158416,1283888,8371830784,0,0
34,114551,0,0,0,0,0,0,0
34,114551,1,196956,0,768000,3145728000,0,0
34,114542,0,0,0,922944,12884901888,0,0
34,114542,1,321560,1777696,1259936,8371830784,0,0
35,114551,0,0,0,0,0,0,0
35,114551,1,205169,0,801568,3303014400,0,0
35,114542,0,0,0,1098432,12884901888,0,0
35,114542,1,364229,2362640,1249744,8371830784,0,0
36,114551,0,0,0,0,0,0,0
36,114551,1,210701,0,823296,3372220416,0,0
36,114542,0,0,0,1335584,12884901888,0,0
36,114542,1,403625,2974432,1216608,8371830784,0,0
37,114551,0,0,0,0,0,0,0
37,114551,1,220986,0,860352,3548381184,0,0
37,114542,0,0,0,1509488,12884901888,0,0
37,114542,1,444419,3554880,1239680,8371830784,0,0
38,114551,0,0,0,0,0,0,0
38,114551,1,220986,0,860352,3548381184,0,0
38,114542,0,0,0,1660112,12884901888,0,0
38,114542,1,487910,4135792,1253056,8371830784,0,0
39,114551,0,0,0,0,0,0,0
39,114551,1,226005,0,878592,3598712832,0,0
39,114542,0,0,0,1793968,12884901888,0,0
39,114542,1,531075,4728192,1219408,8371830784,0,0
40,114551,0,0,0,0,0,0,0
40,114551,1,229021,0,896000,3670016000,0,0
40,114542,0,0,0,1941040,12884901888,0,0
40,114542,1,571179,5314816,1206096,8371830784,0,0
41,114551,0,0,0,0,0,0,0
41,114551,1,229021,0,896000,3670016000,0,0
41,114542,0,0,0,2063824,12884901888,0,0
41,114542,1,614492,5891488,1203088,8371830784,0,0
42,114551,0,0,0,0,0,0,0
42,114551,1,229021,0,896000,3670016000,0,0
42,114542,0,0,0,2135360,12884901888,0,0
