Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,113738,0,0,0,0,0,0,0
0,113738,1,179085,0,1048576,4294967296,0,0
1,113738,0,0,0,0,0,0,0
1,113738,1,179085,0,1048576,4294967296,0,0
2,113738,0,0,0,0,0,0,0
2,113738,1,179085,0,1048576,4294967296,0,0
3,113738,0,0,0,0,0,0,0
3,113738,1,179085,0,1048576,4294967296,0,0
4,113738,0,0,0,0,0,0,0
4,113738,1,179085,0,1048576,4294967296,0,0
5,113738,0,0,0,0,0,0,0
5,113738,1,179085,0,1048576,4294967296,0,0
6,113738,0,0,0,0,0,0,0
6,113738,1,179085,0,1048576,4294967296,0,0
7,113738,0,0,0,0,0,0,0
7,113738,1,179085,0,1048576,4294967296,0,0
8,113738,0,0,0,0,0,0,0
8,113738,1,179085,0,1048576,4294967296,0,0
9,113738,0,0,0,0,0,0,0
9,113738,1,179085,0,1048576,4294967296,0,0
10,113746,0,0,0,0,0,0,0
10,113746,1,35063,0,128000,524288000,0,0
10,113738,0,0,0,0,0,0,0
10,113738,1,179085,0,1048576,4294967296,0,0
11,113746,0,0,0,0,0,0,0
11,113746,1,35063,0,128000,524288000,0,0
11,113738,0,0,0,0,0,0,0
11,113738,1,179085,0,1048576,4294967296,0,0
12,113746,0,0,0,0,0,0,0
12,113746,1,35063,0,128000,524288000,0,0
12,113738,0,0,0,0,0,0,0
12,113738,1,179085,0,1048576,4294967296,0,0
13,113746,0,0,0,0,0,0,0
13,113746,1,68018,0,256000,1048576000,0,0
13,113738,0,0,0,0,0,0,0
13,113738,1,179085,0,1048576,4294967296,0,0
14,113746,0,0,0,0,0,0,0
14,113746,1,68018,0,256000,1048576000,0,0
14,113738,0,0,0,0,0,0,0
14,113738,1,179085,0,1048576,4294967296,0,0
15,113746,0,0,0,0,0,0,0
15,113746,1,68018,0,256000,1048576000,0,0
15,113738,0,0,0,0,0,0,0
15,113738,1,179085,0,1048576,4294967296,0,0
16,113746,0,0,0,0,0,0,0
16,113746,1,100555,0,384000,1572864000,0,0
16,113738,0,0,0,0,0,0,0
16,113738,1,179085,0,1048576,4294967296,0,0
17,113746,0,0,0,0,0,0,0
17,113746,1,100555,0,384000,1572864000,0,0
17,113738,0,0,0,0,0,0,0
17,113738,1,179085,0,1048576,4294967296,0,0
18,113746,0,0,0,0,0,0,0
18,113746,1,100555,0,384000,1572864000,0,0
18,113738,0,0,0,0,0,0,0
18,113738,1,179085,0,1048576,4294967296,0,0
19,113746,0,0,0,0,0,0,0
19,113746,1,131606,0,512000,2097152000,0,0
19,113738,0,0,0,0,0,0,0
19,113738,1,179085,0,1048576,4294967296,0,0
20,113746,0,0,0,0,0,0,0
20,113746,1,131606,0,512000,2097152000,0,0
20,113738,0,0,0,0,0,0,0
20,113738,1,179085,0,1048576,4294967296,0,0
21,113746,0,0,0,0,0,0,0
21,113746,1,131606,0,512000,2097152000,0,0
21,113738,0,0,0,0,0,0,0
21,113738,1,179085,0,1048576,4294967296,0,0
22,113746,0,0,0,0,0,0,0
22,113746,1,163514,0,640000,2621440000,0,0
22,113738,0,0,0,0,0,0,0
22,113738,1,179085,0,1048576,4294967296,0,0
23,113746,0,0,0,0,0,0,0
23,113746,1,163514,0,640000,2621440000,0,0
23,113738,0,0,0,0,0,0,0
23,113738,1,179085,0,1048576,4294967296,0,0
24,113746,0,0,0,0,0,0,0
24,113746,1,163514,0,640000,2621440000,0,0
24,113738,0,0,0,0,0,0,0
24,113738,1,179085,0,1048576,4294967296,0,0
25,113746,0,0,0,0,0,0,0
25,113746,1,198161,0,768000,3145728000,0,0
25,113738,0,0,0,0,0,0,0
25,113738,1,179085,0,1048576,4294967296,0,0
26,113746,0,0,0,0,0,0,0
