Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,115042,0,0,0,0,0,0,0
0,115042,1,76369,0,448640,1845493760,0,0
1,115042,0,0,0,0,0,0,0
1,115042,1,178664,0,1048576,4294967296,0,0
2,115042,0,0,0,0,0,0,0
2,115042,1,178664,0,1048576,4294967296,0,0
3,115042,0,0,0,0,0,0,0
3,115042,1,178664,0,1048576,4294967296,0,0
4,115042,0,0,0,0,0,0,0
4,115042,1,178664,0,1048576,4294967296,0,0
5,115042,0,0,0,0,0,0,0
5,115042,1,178664,0,1048576,4294967296,0,0
6,115042,0,0,0,0,0,0,0
6,115042,1,178664,0,1048576,4294967296,0,0
7,115042,0,0,0,0,0,0,0
7,115042,1,178664,0,1048576,4294967296,0,0
8,115042,0,0,0,0,0,0,0
8,115042,1,178664,0,1048576,4294967296,0,0
9,115042,0,0,0,0,0,0,0
9,115042,1,178664,0,1048576,4294967296,0,0
10,115042,0,0,0,0,0,0,0
10,115042,1,178664,0,1048576,4294967296,0,0
11,115042,0,0,0,0,0,0,0
11,115042,1,178664,0,1048576,4294967296,0,0
12,115050,0,0,0,0,0,0,0
12,115050,1,34736,0,128000,524288000,0,0
12,115042,0,0,0,0,0,0,0
12,115042,1,178664,0,1048576,4294967296,0,0
13,115050,0,0,0,0,0,0,0
13,115050,1,34736,0,128000,524288000,0,0
13,115042,0,0,0,0,0,0,0
13,115042,1,178664,0,1048576,4294967296,0,0
14,115050,0,0,0,0,0,0,0
14,115050,1,34736,0,128000,524288000,0,0
14,115042,0,0,0,0,0,0,0
14,115042,1,178664,0,1048576,4294967296,0,0
15,115050,0,0,0,0,0,0,0
15,115050,1,67930,0,256000,1048576000,0,0
15,115042,0,0,0,0,0,0,0
15,115042,1,178664,0,1048576,4294967296,0,0
16,115050,0,0,0,0,0,0,0
16,115050,1,67930,0,256000,1048576000,0,0
16,115042,0,0,0,0,0,0,0
16,115042,1,178664,0,1048576,4294967296,0,0
17,115050,0,0,0,0,0,0,0
17,115050,1,67930,0,256000,1048576000,0,0
17,115042,0,0,0,0,0,0,0
17,115042,1,178664,0,1048576,4294967296,0,0
18,115050,0,0,0,0,0,0,0
18,115050,1,99500,0,384000,1572864000,0,0
18,115042,0,0,0,0,0,0,0
18,115042,1,178664,0,1048576,4294967296,0,0
19,115050,0,0,0,0,0,0,0
19,115050,1,99500,0,384000,1572864000,0,0
19,115042,0,0,0,0,0,0,0
19,115042,1,178664,0,1048576,4294967296,0,0
20,115050,0,0,0,0,0,0,0
20,115050,1,99500,0,384000,1572864000,0,0
20,115042,0,0,0,0,0,0,0
20,115042,1,178664,0,1048576,4294967296,0,0
21,115050,0,0,0,0,0,0,0
21,115050,1,131967,0,512000,2097152000,0,0
21,115042,0,0,0,0,0,0,0
21,115042,1,178664,0,1048576,4294967296,0,0
22,115050,0,0,0,0,0,0,0
22,115050,1,131967,0,512000,2097152000,0,0
22,115042,0,0,0,0,0,0,0
22,115042,1,178664,0,1048576,4294967296,0,0
23,115050,0,0,0,0,0,0,0
23,115050,1,131967,0,512000,2097152000,0,0
23,115042,0,0,0,0,0,0,0
23,115042,1,178664,0,1048576,4294967296,0,0
24,115050,0,0,0,0,0,0,0
24,115050,1,164958,0,640000,2621440000,0,0
24,115042,0,0,0,0,0,0,0
24,115042,1,178664,0,1048576,4294967296,0,0
25,115050,0,0,0,0,0,0,0
25,115050,1,164958,0,640000,2621440000,0,0
25,115042,0,0,0,0,0,0,0
25,115042,1,178664,0,1048576,4294967296,0,0
26,115050,0,0,0,0,0,0,0
26,115050,1,164958,0,640000,2621440000,0,0
26,115042,0,0,0,0,0,0,0
26,115042,1,178664,0,1048576,4294967296,0,0
27,115050,0,0,0,0,0,0,0
27,115050,1,196950,0,768000,3145728000,0,0
27,115042,0,0,0,0,0,0,0
27,115042,1,178664,0,1048576,4294967296,0,0
28,115050,0,0,0,0,0,0,0
28,115050,1,196950,0,768000,3145728000,0,0
28,115042,0,0,0,0,0,0,0
28,115042,1,178664,0,1048576,4294967296,0,0
29,115050,0,0,0,0,0,0,0
29,115050,1,196950,0,768000,3145728000,0,0
29,115042,0,0,0,0,0,0,0
29,115042,1,178664,0,1048576,4294967296,0,0
30,115050,0,0,0,0,0,0,0
30,115050,1,229359,0,896000,3670016000,0,0
30,115042,0,0,0,0,0,0,0
30,115042,1,178664,0,1048576,4294967296,0,0
31,115050,0,0,0,0,0,0,0
31,115050,1,229359,0,896000,3670016000,0,0
31,115042,0,0,0,105408,4898947072,0,0
31,115042,1,199212,105408,1216304,7516192768,0,0
32,115050,0,0,0,0,0,0,0
32,115050,1,229359,0,896000,3670016000,0,0
32,115042,0,0,0,402624,12165578752,0,0
32,115042,1,215659,405648,1163120,7516192768,0,0
33,115050,0,0,0,0,0,0,0
33,115050,1,229359,0,896000,3670016000,0,0
33,115042,0,0,0,651472,12884901888,0,0
33,115042,1,254383,923568,1222160,7516192768,0,0
34,115050,0,0,0,0,0,0,0
34,115050,1,229359,0,896000,3670016000,0,0
34,115042,0,0,0,929332,12884901888,0,0
34,115042,1,293351,1527120,1195931,7516192768,0,0
35,115050,0,0,0,0,0,0,0
35,115050,1,238306,0,932864,3833593856,0,0
35,115042,0,0,0,1018032,12884901888,0,0
35,115042,1,333251,2099968,1217872,7516192768,0,0
36,115050,0,0,0,0,0,0,0
36,115050,1,243211,0,951296,3896508416,0,0
36,115042,0,0,0,1237584,12884901888,0,0
36,115042,1,370989,2682480,1212800,7516192768,0,0
37,115050,0,0,0,0,0,0,0
37,115050,1,253400,0,988448,4068474880,0,0
37,115042,0,0,0,1472512,12884901888,0,0
37,115042,1,408782,3276928,1171824,7516192768,0,0
38,115050,0,0,0,0,0,0,0
38,115050,1,258449,0,1006592,4123000832,0,0
38,115042,0,0,0,1583808,12884901888,0,0
38,115042,1,447598,3837824,1196640,7516192768,0,0
39,115050,0,0,0,0,0,0,0
39,115050,1,258449,0,1006592,4123000832,0,0
39,115042,0,0,0,1746828,12884901888,0,0
39,115042,1,487030,4401472,1202341,7516192768,0,0
40,115050,0,0,0,0,0,0,0
40,115050,1,261872,0,1024000,4194304000,0,0
40,115042,0,0,0,1868848,12884901888,0,0
40,115042,1,525913,4969728,1177680,7516192768,0,0
41,115050,0,0,0,0,0,0,0
41,115050,1,261872,0,1024000,4194304000,0,0
41,115042,0,0,0,2012752,12884901888,0,0
41,115042,1,565626,5535696,1167760,7516192768,0,0
42,115050,0,0,0,0,0,0,0
42,115050,1,261872,0,1024000,4194304000,0,0
42,115042,0,0,0,2098636,12884901888,0,0
42,115042,1,603779,6081024,1179648,7516192768,0,0
43,115050,0,0,0,0,0,0,0
43,115050,1,261872,0,1024000,4194304000,0,0
43,115042,0,0,0,2170576,12884901888,0,0
43,115042,1,639928,6618464,1174864,7516192768,0,0
44,115050,0,0,0,0,0,0,0
44,115050,1,261872,0,1024000,4194304000,0,0
44,115042,0,0,0,2266976,12884901888,0,0
44,115042,1,678585,7163392,1182496,7516192768,0,0
45,115050,0,0,0,0,0,0,0
45,115050,1,271343,0,1059584,4355784704,0,0
45,115042,0,0,0,2342416,12884901888,0,0
45,115042,1,718939,7709248,1178208,7516192768,0,0
46,115050,0,0,0,0,0,0,0
46,115050,1,271343,0,1059584,4355784704,0,0
46,115042,0,0,0,2359472,12884901888,0,0
46,115042,1,758467,8251216,1180208,7516192768,0,0
47,115050,0,0,0,0,0,0,0
47,115050,1,276341,0,1079296,4420796416,0,0
47,115042,0,0,0,2427440,12884901888,0,0
47,115042,1,796160,8798288,1174096,7516192768,0,0
48,115050,0,0,0,0,0,0,0
48,115050,1,287658,0,1116352,4588568576,0,0
48,115042,0,0,0,2494240,12884901888,0,0
48,115042,1,831936,9343472,1167584,7516192768,0,0
49,115050,0,0,0,0,0,0,0
49,115050,1,287658,0,1116352,4588568576,0,0
49,115042,0,0,0,2515856,12884901888,0,0
49,115042,1,873353,9885152,1175248,7516192768,0,0
50,115050,0,0,0,0,0,0,0
50,115050,1,292653,0,1134592,4647288832,0,0
50,115042,0,0,0,2561840,12884901888,0,0
50,115042,1,911236,10426976,1177088,7516192768,0,0
51,115050,0,0,0,0,0,0,0
51,115050,1,295767,0,1152000,4718592000,0,0
51,115042,0,0,0,2608208,12884901888,0,0
51,115042,1,949555,10978064,1167664,7514095616,0,0
52,115050,0,0,0,0,0,0,0
52,115050,1,295767,0,1152000,4718592000,0,0
52,115042,0,0,0,2634912,12884901888,0,0
52,115042,1,990399,11521168,1177248,7516192768,0,0
53,115050,0,0,0,0,0,0,0
53,115050,1,295767,0,1152000,4718592000,0,0
53,115042,0,0,0,2665200,12884901888,0,0
53,115042,1,1027538,12070352,1170784,7516192768,0,0
54,115050,0,0,0,0,0,0,0
54,115050,1,295767,0,1152000,4718592000,0,0
54,115042,0,0,0,2701840,12884901888,0,0
54,115042,1,1067848,12617504,1176784,7516192768,0,0
55,115050,0,0,0,0,0,0,0
55,115050,1,295767,0,1152000,4718592000,0,0
55,115042,0,0,0,2728736,12884901888,0,0
55,115042,1,1107565,13158000,1179952,7516192768,0,0
56,115050,0,0,0,0,0,0,0
56,115050,1,295767,0,1152000,4718592000,0,0
56,115042,0,0,0,2746240,12884901888,0,0
56,115042,1,1144675,13705088,1189376,7516192768,0,0
57,115050,0,0,0,0,0,0,0
57,115050,1,305360,0,1187264,4877975552,0,0
57,115042,0,0,0,2763231,12884901888,0,0
57,115042,1,1184974,14260944,1189552,7516192768,0,0
58,115050,0,0,0,0,0,0,0
58,115050,1,310646,0,1207296,4945084416,0,0
58,115042,0,0,0,2778576,12884901888,0,0
58,115042,1,1224210,14819392,1201104,7516192768,0,0
59,115050,0,0,0,0,0,0,0
59,115050,1,320979,0,1244352,5114953728,0,0
59,115042,0,0,0,2828336,12884901888,0,0
59,115042,1,1263023,15381872,1176064,7514095616,0,0
60,115050,0,0,0,0,0,0,0
60,115050,1,320979,0,1244352,5114953728,0,0
60,115042,0,0,0,2831152,12884901888,0,0
60,115042,1,1301328,15928144,1188432,7516192768,0,0
61,115050,0,0,0,0,0,0,0
61,115050,1,326152,0,1262592,5171576832,0,0
61,115042,0,0,0,2846096,12884901888,0,0
61,115042,1,1339431,16472496,1189248,7516192768,0,0
62,115050,0,0,0,0,0,0,0
62,115050,1,329769,0,1280000,5242880000,0,0
62,115042,0,0,0,2887072,12884901888,0,0
62,115042,1,1376715,17034192,1164160,7516192768,0,0
63,115050,0,0,0,0,0,0,0
63,115050,1,329769,0,1280000,5242880000,0,0
63,115042,0,0,0,2884944,12884901888,0,0
63,115042,1,1415803,17576032,1181024,7516192768,0,0
64,115050,0,0,0,0,0,0,0
64,115050,1,329769,0,1280000,5242880000,0,0
64,115042,0,0,0,2892112,12884901888,0,0
64,115042,1,1453031,18122736,1180704,7516192768,0,0
65,115050,0,0,0,0,0,0,0
65,115050,1,329769,0,1280000,5242880000,0,0
65,115042,0,0,0,2904272,12884901888,0,0
65,115042,1,1492052,18668896,1180528,7516192768,0,0
66,115050,0,0,0,0,0,0,0
66,115050,1,329769,0,1280000,5242880000,0,0
66,115042,0,0,0,2916960,12884901888,0,0
66,115042,1,1532692,19217760,1177216,7516192768,0,0
67,115050,0,0,0,0,0,0,0
67,115050,1,329769,0,1280000,5242880000,0,0
67,115042,0,0,0,2924720,12884901888,0,0
67,115042,1,1573093,19764896,1177408,7516192768,0,0
68,115050,0,0,0,0,0,0,0
68,115050,1,338513,0,1314368,5402263552,0,0
68,115042,0,0,0,2923344,12884901888,0,0
68,115042,1,1611499,20297168,1182608,7516192768,0,0
69,115050,0,0,0,0,0,0,0
69,115050,1,343749,0,1335296,5469372416,0,0
69,115042,0,0,0,2943872,12884901888,0,0
69,115042,1,1650311,20851024,1168304,7516192768,0,0
70,115050,0,0,0,0,0,0,0
70,115050,1,343749,0,1335296,5469372416,0,0
70,115042,0,0,0,2920032,12884901888,0,0
70,115042,1,1687960,21394384,1200368,7516192768,0,0
71,115050,0,0,0,0,0,0,0
71,115050,1,354430,0,1372480,5643436032,0,0
71,115042,0,0,0,2923984,12884901888,0,0
71,115042,1,1726061,21941040,1199680,7516192768,0,0
72,115050,0,0,0,0,0,0,0
