Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,135186,0,0,0,0,0,0,0
0,135186,1,180751,0,1048576,4294967296,0,0
1,135194,0,0,0,0,0,0,0
1,135194,1,0,0,0,0,0,0
1,135186,0,0,0,0,0,0,0
1,135186,1,180751,0,1048576,4294967296,0,0
2,135194,0,0,0,0,0,0,0
2,135194,1,33476,0,128000,524288000,0,0
2,135186,0,0,0,0,0,0,0
2,135186,1,180751,0,1048576,4294967296,0,0
3,135194,0,0,0,0,0,0,0
3,135194,1,33476,0,128000,524288000,0,0
3,135186,0,0,0,0,0,0,0
3,135186,1,180751,0,1048576,4294967296,0,0
4,135194,0,0,0,0,0,0,0
4,135194,1,33476,0,128000,524288000,0,0
4,135186,0,0,0,0,0,0,0
4,135186,1,180751,0,1048576,4294967296,0,0
5,135194,0,0,0,0,0,0,0
5,135194,1,64799,0,256000,1048576000,0,0
5,135186,0,0,0,0,0,0,0
5,135186,1,180751,0,1048576,4294967296,0,0
6,135194,0,0,0,0,0,0,0
6,135194,1,64799,0,256000,1048576000,0,0
6,135186,0,0,0,0,0,0,0
6,135186,1,180751,0,1048576,4294967296,0,0
7,135194,0,0,0,0,0,0,0
7,135194,1,64799,0,256000,1048576000,0,0
7,135186,0,0,0,0,0,0,0
7,135186,1,180751,0,1048576,4294967296,0,0
8,135194,0,0,0,0,0,0,0
8,135194,1,97817,0,384000,1572864000,0,0
8,135186,0,0,0,0,0,0,0
8,135186,1,180751,0,1048576,4294967296,0,0
9,135194,0,0,0,0,0,0,0
9,135194,1,97817,0,384000,1572864000,0,0
9,135186,0,0,0,0,0,0,0
9,135186,1,180751,0,1048576,4294967296,0,0
10,135194,0,0,0,0,0,0,0
10,135194,1,97817,0,384000,1572864000,0,0
10,135186,0,0,0,0,0,0,0
10,135186,1,180751,0,1048576,4294967296,0,0
11,135194,0,0,0,0,0,0,0
11,135194,1,129832,0,512000,2097152000,0,0
11,135186,0,0,0,0,0,0,0
11,135186,1,180751,0,1048576,4294967296,0,0
12,135194,0,0,0,0,0,0,0
12,135194,1,129832,0,512000,2097152000,0,0
12,135186,0,0,0,0,0,0,0
12,135186,1,180751,0,1048576,4294967296,0,0
13,135194,0,0,0,0,0,0,0
13,135194,1,129832,0,512000,2097152000,0,0
13,135186,0,0,0,0,0,0,0
13,135186,1,180751,0,1048576,4294967296,0,0
14,135194,0,0,0,0,0,0,0
14,135194,1,162320,0,640000,2621440000,0,0
14,135186,0,0,0,0,0,0,0
14,135186,1,180751,0,1048576,4294967296,0,0
15,135194,0,0,0,0,0,0,0
15,135194,1,162320,0,640000,2621440000,0,0
15,135186,0,0,0,0,0,0,0
15,135186,1,180751,0,1048576,4294967296,0,0
16,135194,0,0,0,0,0,0,0
16,135194,1,162320,0,640000,2621440000,0,0
16,135186,0,0,0,0,0,0,0
16,135186,1,180751,0,1048576,4294967296,0,0
17,135194,0,0,0,0,0,0,0
17,135194,1,194788,0,768000,3145728000,0,0
17,135186,0,0,0,0,0,0,0
17,135186,1,180751,0,1048576,4294967296,0,0
18,135194,0,0,0,0,0,0,0
18,135194,1,194788,0,768000,3145728000,0,0
18,135186,0,0,0,0,0,0,0
18,135186,1,180751,0,1048576,4294967296,0,0
19,135194,0,0,0,0,0,0,0
19,135194,1,194788,0,768000,3145728000,0,0
19,135186,0,0,0,0,0,0,0
19,135186,1,180751,0,1048576,4294967296,0,0
20,135194,0,0,0,0,0,0,0
20,135194,1,226267,0,896000,3670016000,0,0
20,135186,0,0,0,0,0,0,0
20,135186,1,180751,0,1048576,4294967296,0,0
21,135194,0,0,0,0,0,0,0
21,135194,1,226267,0,896000,3670016000,0,0
21,135186,0,0,0,0,0,0,0
21,135186,1,180751,0,1048576,4294967296,0,0
22,135194,0,0,0,0,0,0,0
22,135194,1,226267,0,896000,3670016000,0,0
22,135186,0,0,0,0,0,0,0
22,135186,1,180751,0,1048576,4294967296,0,0
23,135194,0,0,0,0,0,0,0
23,135194,1,260229,0,1024000,4194304000,0,0
23,135186,0,0,0,0,0,0,0
23,135186,1,180751,0,1048576,4294967296,0,0
24,135194,0,0,0,0,0,0,0
24,135194,1,260229,0,1024000,4194304000,0,0
24,135186,0,0,0,0,0,0,0
24,135186,1,180751,0,1048576,4294967296,0,0
25,135194,0,0,0,0,0,0,0
25,135194,1,260229,0,1024000,4194304000,0,0
25,135186,0,0,0,0,0,0,0
25,135186,1,180751,0,1048576,4294967296,0,0
26,135194,0,0,0,0,0,0,0
26,135194,1,293027,0,1152000,4718592000,0,0
26,135186,0,0,0,0,0,0,0
26,135186,1,180751,0,1048576,4294967296,0,0
27,135194,0,0,0,0,0,0,0
27,135194,1,293027,0,1152000,4718592000,0,0
27,135186,0,0,0,0,0,0,0
27,135186,1,180751,0,1048576,4294967296,0,0
28,135194,0,0,0,0,0,0,0
