Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,133801,0,0,0,0,0,0,0
0,133801,1,178907,0,1048576,4294967296,0,0
1,133809,0,0,0,0,0,0,0
1,133809,1,0,0,0,0,0,0
1,133801,0,0,0,0,0,0,0
1,133801,1,178907,0,1048576,4294967296,0,0
2,133809,0,0,0,0,0,0,0
2,133809,1,34217,0,128000,524288000,0,0
2,133801,0,0,0,0,0,0,0
2,133801,1,178907,0,1048576,4294967296,0,0
3,133809,0,0,0,0,0,0,0
3,133809,1,34217,0,128000,524288000,0,0
3,133801,0,0,0,0,0,0,0
3,133801,1,178907,0,1048576,4294967296,0,0
4,133809,0,0,0,0,0,0,0
4,133809,1,34217,0,128000,524288000,0,0
4,133801,0,0,0,0,0,0,0
4,133801,1,178907,0,1048576,4294967296,0,0
5,133809,0,0,0,0,0,0,0
5,133809,1,68030,0,256000,1048576000,0,0
5,133801,0,0,0,0,0,0,0
5,133801,1,178907,0,1048576,4294967296,0,0
6,133809,0,0,0,0,0,0,0
6,133809,1,68030,0,256000,1048576000,0,0
6,133801,0,0,0,0,0,0,0
6,133801,1,178907,0,1048576,4294967296,0,0
7,133809,0,0,0,0,0,0,0
7,133809,1,68030,0,256000,1048576000,0,0
7,133801,0,0,0,0,0,0,0
7,133801,1,178907,0,1048576,4294967296,0,0
8,133809,0,0,0,0,0,0,0
8,133809,1,100918,0,384000,1572864000,0,0
8,133801,0,0,0,0,0,0,0
8,133801,1,178907,0,1048576,4294967296,0,0
9,133809,0,0,0,0,0,0,0
9,133809,1,100918,0,384000,1572864000,0,0
9,133801,0,0,0,0,0,0,0
9,133801,1,178907,0,1048576,4294967296,0,0
10,133809,0,0,0,0,0,0,0
10,133809,1,100918,0,384000,1572864000,0,0
10,133801,0,0,0,0,0,0,0
10,133801,1,178907,0,1048576,4294967296,0,0
11,133809,0,0,0,0,0,0,0
11,133809,1,133555,0,512000,2097152000,0,0
11,133801,0,0,0,0,0,0,0
11,133801,1,178907,0,1048576,4294967296,0,0
12,133809,0,0,0,0,0,0,0
12,133809,1,133555,0,512000,2097152000,0,0
12,133801,0,0,0,0,0,0,0
12,133801,1,178907,0,1048576,4294967296,0,0
13,133809,0,0,0,0,0,0,0
13,133809,1,133555,0,512000,2097152000,0,0
13,133801,0,0,0,0,0,0,0
13,133801,1,178907,0,1048576,4294967296,0,0
14,133809,0,0,0,0,0,0,0
14,133809,1,166593,0,640000,2621440000,0,0
14,133801,0,0,0,0,0,0,0
14,133801,1,178907,0,1048576,4294967296,0,0
15,133809,0,0,0,0,0,0,0
15,133809,1,166593,0,640000,2621440000,0,0
15,133801,0,0,0,0,0,0,0
15,133801,1,178907,0,1048576,4294967296,0,0
16,133809,0,0,0,0,0,0,0
16,133809,1,166593,0,640000,2621440000,0,0
16,133801,0,0,0,0,0,0,0
16,133801,1,178907,0,1048576,4294967296,0,0
17,133809,0,0,0,0,0,0,0
17,133809,1,199322,0,768000,3145728000,0,0
17,133801,0,0,0,0,0,0,0
17,133801,1,178907,0,1048576,4294967296,0,0
18,133809,0,0,0,0,0,0,0
18,133809,1,199322,0,768000,3145728000,0,0
18,133801,0,0,0,0,0,0,0
18,133801,1,178907,0,1048576,4294967296,0,0
19,133809,0,0,0,0,0,0,0
19,133809,1,199322,0,768000,3145728000,0,0
19,133801,0,0,0,0,0,0,0
19,133801,1,178907,0,1048576,4294967296,0,0
20,133809,0,0,0,0,0,0,0
20,133809,1,231701,0,896000,3670016000,0,0
20,133801,0,0,0,0,0,0,0
20,133801,1,178907,0,1048576,4294967296,0,0
21,133809,0,0,0,0,0,0,0
21,133809,1,231701,0,896000,3670016000,0,0
21,133801,0,0,0,0,0,0,0
21,133801,1,178907,0,1048576,4294967296,0,0
22,133809,0,0,0,0,0,0,0
22,133809,1,231701,0,896000,3670016000,0,0
22,133801,0,0,0,0,0,0,0
22,133801,1,178907,0,1048576,4294967296,0,0
23,133809,0,0,0,0,0,0,0
23,133809,1,265126,0,1024000,4194304000,0,0
23,133801,0,0,0,0,0,0,0
23,133801,1,178907,0,1048576,4294967296,0,0
24,133809,0,0,0,0,0,0,0
24,133809,1,265126,0,1024000,4194304000,0,0
24,133801,0,0,0,0,0,0,0
24,133801,1,178907,0,1048576,4294967296,0,0
25,133809,0,0,0,0,0,0,0
25,133809,1,265126,0,1024000,4194304000,0,0
25,133801,0,0,0,0,0,0,0
25,133801,1,178907,0,1048576,4294967296,0,0
26,133809,0,0,0,0,0,0,0
26,133809,1,296174,0,1152000,4718592000,0,0
26,133801,0,0,0,0,0,0,0
26,133801,1,178907,0,1048576,4294967296,0,0
27,133809,0,0,0,0,0,0,0
27,133809,1,296174,0,1152000,4718592000,0,0
27,133801,0,0,0,0,0,0,0
27,133801,1,178907,0,1048576,4294967296,0,0
28,133809,0,0,0,0,0,0,0
28,133809,1,296174,0,1152000,4718592000,0,0
28,133801,0,0,0,0,0,0,0
28,133801,1,178907,0,1048576,4294967296,0,0
29,133809,0,0,0,0,0,0,0
29,133809,1,327705,0,1280000,5242880000,0,0
29,133801,0,0,0,0,0,0,0
29,133801,1,178907,0,1048576,4294967296,0,0
30,133809,0,0,0,0,0,0,0
30,133809,1,327705,0,1280000,5242880000,0,0
30,133801,0,0,0,0,0,0,0
30,133801,1,188447,0,1193984,7254048768,0,0
31,133809,0,0,0,0,0,0,0
31,133809,1,327705,0,1280000,5242880000,0,0
31,133801,0,0,0,214656,7438598144,0,0
31,133801,1,224374,215296,1539312,11117002752,0,0
32,133809,0,0,0,0,0,0,0
32,133809,1,327705,0,1280000,5242880000,0,0
32,133801,0,0,0,354202,10263003136,0,0
32,133801,1,242072,500720,1606486,11117002752,0,0
33,133809,0,0,0,0,0,0,0
33,133809,1,337229,0,1314848,5400166400,157286400,0
33,133801,0,0,0,890976,11747393536,0,0
33,133801,1,308642,1736928,1546768,10959716352,0,0
34,133809,0,0,0,0,0,0,0
34,133809,1,342922,0,1335296,5469372416,226492416,0
34,133801,0,0,0,1265808,11967987712,0,0
34,133801,1,350673,2560512,1485056,10890510336,0,0
35,133809,0,0,0,0,0,0,0
35,133809,1,353948,0,1370688,5628755968,385875968,0
35,133801,0,0,0,1497104,12112494592,0,0
35,133801,1,393525,3296128,1451424,10731126784,0,0
36,133809,0,0,0,0,0,0,0
36,133809,1,359347,0,1390592,5695864832,452984832,0
36,133801,0,0,0,1729040,12245598208,0,0
36,133801,1,435857,4034208,1429520,10664017920,0,0
37,133809,0,0,0,0,0,0,0
37,133809,1,362602,0,1408000,5767168000,524288000,0
37,133801,0,0,0,1874464,12330336256,0,0
37,133801,1,474855,4729760,1396288,10592714752,0,0
38,133809,0,0,0,0,0,0,0
38,133809,1,362602,0,1408000,5767168000,524288000,0
38,133801,0,0,0,2007312,12408848384,0,0
38,133801,1,516156,5419600,1402976,10592714752,0,0
39,133809,0,0,0,0,0,0,0
39,133809,1,362602,0,1408000,5767168000,524288000,0
39,133801,0,0,0,2109712,12477530112,0,0
39,133801,1,556160,6097120,1409184,10592714752,0,0
40,133809,0,0,0,0,0,0,0
40,133809,1,362602,0,1408000,5767168000,524288000,0
40,133801,0,0,0,2262336,12539199488,0,0
40,133801,1,594100,6807488,1333296,10592714752,0,0
41,133809,0,0,0,0,0,0,0
41,133809,1,362602,0,1408000,5767168000,524288000,0
41,133801,0,0,0,2253271,12566396928,0,0
41,133801,1,634841,7425184,1423185,10592714752,0,0
42,133809,0,0,0,0,0,0,0
42,133809,1,371319,0,1441312,5928648704,685768704,0
42,133801,0,0,0,2375632,12610371584,0,0
42,133801,1,672598,8101424,1349424,10431234048,0,0
43,133809,0,0,0,0,0,0,0
43,133809,1,377162,0,1463296,5993660416,750780416,0
43,133801,0,0,0,2444448,12647333888,0,0
43,133801,1,711532,8749200,1350032,10366222336,0,0
44,133809,0,0,0,0,0,0,0
44,133809,1,386908,0,1499456,6155141120,912261120,0
44,133801,0,0,0,2508672,12679380992,0,0
44,133801,1,747921,9390576,1326512,10204741632,0,0
45,133809,0,0,0,0,0,0,0
45,133809,1,392216,0,1518592,6220152832,977272832,0
45,133801,0,0,0,2592672,12706840576,0,0
45,133801,1,784873,10043120,1289536,10139729920,0,0
46,133809,0,0,0,0,0,0,0
46,133809,1,395624,0,1536000,6291456000,1048576000,0
46,133801,0,0,0,2636240,12725387264,0,0
46,133801,1,822999,10666592,1281952,10068426752,0,0
47,133809,0,0,0,0,0,0,0
47,133809,1,395624,0,1536000,6291456000,1048576000,0
47,133801,0,0,0,2684064,12745703424,0,0
47,133801,1,861735,11292832,1264608,10068426752,0,0
48,133809,0,0,0,0,0,0,0
48,133809,1,395624,0,1536000,6291456000,1048576000,0
48,133801,0,0,0,2652544,12758220800,0,0
48,133801,1,899692,11852368,1330512,10068426752,0,0
49,133809,0,0,0,0,0,0,0
49,133809,1,395624,0,1536000,6291456000,1048576000,0
49,133801,0,0,0,2669831,12781355008,0,0
49,133801,1,936525,12471040,1339840,10068426752,0,0
50,133809,0,0,0,0,0,0,0
50,133809,1,395624,0,1536000,6291456000,1048576000,0
50,133801,0,0,0,2655392,12792168448,0,0
50,133801,1,975830,13078240,1374912,10068426752,0,0
51,133809,0,0,0,0,0,0,0
51,133809,1,403847,0,1570816,6444548096,1201668096,0
51,133801,0,0,0,2707040,12805013504,0,0
51,133801,1,1013745,13723536,1340696,9915334656,0,0
52,133809,0,0,0,0,0,0,0
52,133809,1,408844,0,1591296,6517948416,1275068416,0
52,133801,0,0,0,2718320,12812746752,0,0
52,133801,1,1051626,14344800,1350496,9841934336,0,0
53,133809,0,0,0,0,0,0,0
53,133809,1,408844,0,1591296,6517948416,1275068416,0
53,133801,0,0,0,2746544,12825067520,0,0
53,133801,1,1089516,14976752,1339920,9841934336,0,0
54,133809,0,0,0,0,0,0,0
54,133809,1,419460,0,1627328,6683623424,1440743424,0
54,133801,0,0,0,2777040,12833128448,0,0
54,133801,1,1127251,15594544,1320256,9676259328,0,0
55,133809,0,0,0,0,0,0,0
55,133809,1,424357,0,1646592,6744440832,1501560832,0
55,133801,0,0,0,2823040,12839223296,0,0
55,133801,1,1163915,16221072,1286240,9615441920,0,0
56,133809,0,0,0,0,0,0,0
56,133809,1,428179,0,1664000,6815744000,1572864000,0
56,133801,0,0,0,2845888,12846235648,0,0
56,133801,1,1201372,16833200,1273008,9544138752,0,0
57,133809,0,0,0,0,0,0,0
57,133809,1,428179,0,1664000,6815744000,1572864000,0
57,133801,0,0,0,2871824,12850102272,0,0
57,133801,1,1238763,17448928,1254800,9544138752,0,0
58,133809,0,0,0,0,0,0,0
58,133809,1,428179,0,1664000,6815744000,1572864000,0
58,133801,0,0,0,2851824,12852854784,0,0
58,133801,1,1276275,18037440,1283040,9544138752,0,0
59,133809,0,0,0,0,0,0,0
59,133809,1,428179,0,1664000,6815744000,1572864000,0
59,133801,0,0,0,2818515,12855738368,0,0
59,133801,1,1313436,18624880,1324192,9544138752,0,0
60,133809,0,0,0,0,0,0,0
60,133809,1,428179,0,1664000,6815744000,1572864000,0
60,133801,0,0,0,2841696,12859277312,0,0
60,133801,1,1347532,19230016,1306752,9544138752,0,0
61,133809,0,0,0,0,0,0,0
61,133809,1,436007,0,1696576,6968836096,1725956096,0
61,133801,0,0,0,2885680,12861505536,0,0
61,133801,1,1382664,19858752,1265840,9391046656,0,0
62,133809,0,0,0,0,0,0,0
62,133809,1,441654,0,1719296,7042236416,1799356416,0
62,133801,0,0,0,2896592,12862881792,0,0
62,133801,1,1418974,20466064,1258672,9317646336,0,0
63,133809,0,0,0,0,0,0,0
63,133809,1,441654,0,1719296,7042236416,1799356416,0
63,133801,0,0,0,2857264,12865110016,0,0
63,133801,1,1457845,21054432,1303312,9317646336,0,0
64,133809,0,0,0,0,0,0,0
64,133809,1,451799,0,1756096,7205814272,1962934272,0
64,133801,0,0,0,2877920,12866945024,0,0
64,133801,1,1494270,21659200,1285025,9154068480,0,0
65,133809,0,0,0,0,0,0,0
65,133809,1,457399,0,1774592,7268728832,2025848832,0
65,133801,0,0,0,2919792,12869042176,0,0
65,133801,1,1530816,22275776,1246384,9091153920,0,0
66,133809,0,0,0,0,0,0,0
66,133809,1,460672,0,1792000,7340032000,2097152000,0
66,133801,0,0,0,2943984,12871073792,0,0
66,133801,1,1566969,22879504,1225040,9019850752,0,0
67,133809,0,0,0,0,0,0,0
67,133809,1,460672,0,1792000,7340032000,2097152000,0
67,133801,0,0,0,2952432,12871991296,0,0
67,133801,1,1604473,23473440,1218832,9019850752,0,0
68,133809,0,0,0,0,0,0,0
68,133809,1,460672,0,1792000,7340032000,2097152000,0
68,133801,0,0,0,2924496,12872843264,0,0
68,133801,1,1641169,24043440,1249632,9019850752,0,0
69,133809,0,0,0,0,0,0,0
69,133809,1,460672,0,1792000,7340032000,2097152000,0
69,133801,0,0,0,2914560,12874285056,0,0
69,133801,1,1677677,24629616,1261568,9019850752,0,0
70,133809,0,0,0,0,0,0,0
70,133809,1,460672,0,1792000,7340032000,2097152000,0
70,133801,0,0,0,2886992,12876709888,0,0
70,133801,1,1714946,25225904,1291856,9019850752,0,0
71,133809,0,0,0,0,0,0,0
71,133809,1,468383,0,1825760,7495221248,2252341248,0
71,133801,0,0,0,2890602,12877365248,0,0
71,133801,1,1751591,25831344,1289152,8864661504,0,0
72,133809,0,0,0,0,0,0,0
72,133809,1,473610,0,1847296,7566524416,2323644416,0
72,133801,0,0,0,2914384,12877692928,0,0
72,133801,1,1787314,26445904,1266592,8793358336,0,0
73,133809,0,0,0,0,0,0,0
73,133809,1,473610,0,1847296,7566524416,2323644416,0
73,133801,0,0,0,2934935,12878938112,0,0
73,133801,1,1824101,27062256,1247603,8793358336,0,0
74,133809,0,0,0,0,0,0,0
