Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,22868,0,0,0,0,0,0,0
0,22868,1,26072,0,76432,373293056,0,0
1,22868,0,0,0,0,0,0,0
1,22868,1,42244,0,128000,524288000,0,0
2,22868,0,0,0,0,0,0,0
2,22868,1,42244,0,128000,524288000,0,0
3,22868,0,0,0,0,0,0,0
3,22868,1,42244,0,128000,524288000,0,0
4,22868,0,0,0,0,0,0,0
4,22868,1,81881,0,256000,1048576000,0,0
5,22868,0,0,0,0,0,0,0
5,22868,1,81881,0,256000,1048576000,0,0
6,22868,0,0,0,0,0,0,0
6,22868,1,81881,0,256000,1048576000,0,0
7,22868,0,0,0,0,0,0,0
7,22868,1,122573,0,384000,1572864000,0,0
8,22868,0,0,0,0,0,0,0
8,22868,1,122573,0,384000,1572864000,0,0
9,22868,0,0,0,0,0,0,0
9,22868,1,122573,0,384000,1572864000,0,0
10,22868,0,0,0,0,0,0,0
10,22868,1,161965,0,512000,2097152000,0,0
11,22868,0,0,0,0,0,0,0
11,22868,1,161965,0,512000,2097152000,0,0
12,22868,0,0,0,0,0,0,0
12,22868,1,161965,0,512000,2097152000,0,0
13,22868,0,0,0,0,0,0,0
13,22868,1,200198,0,640000,2621440000,0,0
14,22868,0,0,0,0,0,0,0
14,22868,1,200198,0,640000,2621440000,0,0
15,22868,0,0,0,0,0,0,0
15,22868,1,200198,0,640000,2621440000,0,0
16,22868,0,0,0,0,0,0,0
16,22868,1,239961,0,768000,3145728000,0,0
17,22868,0,0,0,0,0,0,0
17,22868,1,239961,0,768000,3145728000,0,0
18,22868,0,0,0,0,0,0,0
18,22868,1,239961,0,768000,3145728000,0,0
19,22868,0,0,0,0,0,0,0
19,22868,1,279792,0,896000,3670016000,0,0
20,22868,0,0,0,0,0,0,0
20,22868,1,279792,0,896000,3670016000,0,0
21,22868,0,0,0,0,0,0,0
