Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,19752,0,0,0,0,0,0,0
0,19752,1,0,0,0,0,0,0
1,19752,0,0,0,0,0,0,0
1,19752,1,39927,0,128000,524288000,0,0
2,19752,0,0,0,0,0,0,0
2,19752,1,39927,0,128000,524288000,0,0
3,19752,0,0,0,0,0,0,0
3,19752,1,39927,0,128000,524288000,0,0
4,19752,0,0,0,0,0,0,0
4,19752,1,77955,0,256000,1048576000,0,0
5,19752,0,0,0,0,0,0,0
5,19752,1,77955,0,256000,1048576000,0,0
6,19752,0,0,0,0,0,0,0
6,19752,1,77955,0,256000,1048576000,0,0
7,19752,0,0,0,0,0,0,0
7,19752,1,118907,0,384000,1572864000,0,0
8,19752,0,0,0,0,0,0,0
8,19752,1,118907,0,384000,1572864000,0,0
9,19752,0,0,0,0,0,0,0
9,19752,1,118907,0,384000,1572864000,0,0
10,19752,0,0,0,0,0,0,0
10,19752,1,159204,0,512000,2097152000,0,0
11,19752,0,0,0,0,0,0,0
11,19752,1,159204,0,512000,2097152000,0,0
12,19752,0,0,0,0,0,0,0
12,19752,1,159204,0,512000,2097152000,0,0
13,19752,0,0,0,0,0,0,0
13,19752,1,198411,0,640000,2621440000,0,0
14,19752,0,0,0,0,0,0,0
14,19752,1,198411,0,640000,2621440000,0,0
15,19752,0,0,0,0,0,0,0
15,19752,1,198411,0,640000,2621440000,0,0
16,19752,0,0,0,0,0,0,0
16,19752,1,237363,0,768000,3145728000,0,0
17,19752,0,0,0,0,0,0,0
17,19752,1,237363,0,768000,3145728000,0,0
18,19752,0,0,0,0,0,0,0
18,19752,1,237363,0,768000,3145728000,0,0
19,19752,0,0,0,0,0,0,0
19,19752,1,276293,0,896000,3670016000,0,0
20,19752,0,0,0,0,0,0,0
20,19752,1,276293,0,896000,3670016000,0,0
21,19752,0,0,0,0,0,0,0
21,19752,1,276293,0,896000,3670016000,0,0
22,19752,0,0,0,0,0,0,0
22,19752,1,314567,0,1024000,4194304000,0,0
23,19752,0,0,0,0,0,0,0
