Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,25702,0,0,0,0,0,0,0
0,25702,1,33630,0,128000,524288000,0,0
0,25701,0,0,0,0,0,0,0
0,25701,1,63228,0,366688,1507852288,0,0
1,25702,0,0,0,0,0,0,0
1,25702,1,33630,0,128000,524288000,0,0
1,25701,0,0,0,0,0,0,0
1,25701,1,385089,0,2263488,9277800448,0,0
2,25702,0,0,0,0,0,0,0
2,25702,1,33630,0,128000,524288000,0,0
2,25701,0,0,0,0,0,0,0
2,25701,1,534880,0,3145728,12884901888,0,0
3,25702,0,0,0,0,0,0,0
3,25702,1,65148,0,256000,1048576000,0,0
3,25701,0,0,0,0,0,0,0
3,25701,1,534880,0,3145728,12884901888,0,0
4,25702,0,0,0,0,0,0,0
4,25702,1,65148,0,256000,1048576000,0,0
4,25701,0,0,0,0,0,0,0
4,25701,1,534880,0,3145728,12884901888,0,0
5,25702,0,0,0,0,0,0,0
5,25702,1,65148,0,256000,1048576000,0,0
5,25701,0,0,0,0,0,0,0
5,25701,1,534880,0,3145728,12884901888,0,0
6,25702,0,0,0,0,0,0,0
6,25702,1,78800,0,311296,1275068416,0,0
6,25701,0,0,0,0,0,0,0
6,25701,1,534880,0,3145728,12884901888,0,0
7,25702,0,0,0,0,0,0,0
7,25702,1,97440,0,384000,1572864000,0,0
7,25701,0,0,0,0,0,0,0
7,25701,1,534880,0,3145728,12884901888,0,0
8,25702,0,0,0,0,0,0,0
8,25702,1,97440,0,384000,1572864000,0,0
8,25701,0,0,0,0,0,0,0
8,25701,1,534880,0,3145728,12884901888,0,0
9,25702,0,0,0,0,0,0,0
9,25702,1,97440,0,384000,1572864000,0,0
9,25701,0,0,0,0,0,0,0
9,25701,1,534880,0,3145728,12884901888,0,0
10,25702,0,0,0,0,0,0,0
10,25702,1,127451,0,512000,2097152000,0,0
10,25701,0,0,0,0,0,0,0
10,25701,1,534880,0,3145728,12884901888,0,0
11,25702,0,0,0,0,0,0,0
11,25702,1,127451,0,512000,2097152000,0,0
11,25701,0,0,0,0,0,0,0
11,25701,1,534880,0,3145728,12884901888,0,0
12,25702,0,0,0,0,0,0,0
12,25702,1,127451,0,512000,2097152000,0,0
12,25701,0,0,0,0,0,0,0
12,25701,1,534880,0,3145728,12884901888,0,0
13,25702,0,0,0,0,0,0,0
13,25702,1,156439,0,640000,2621440000,0,0
13,25701,0,0,0,0,0,0,0
13,25701,1,534880,0,3145728,12884901888,0,0
14,25702,0,0,0,0,0,0,0
14,25702,1,156439,0,640000,2621440000,0,0
14,25701,0,0,0,0,0,0,0
14,25701,1,534880,0,3145728,12884901888,0,0
15,25702,0,0,0,0,0,0,0
15,25702,1,156439,0,640000,2621440000,0,0
15,25701,0,0,0,0,0,0,0
15,25701,1,534880,0,3145728,12884901888,0,0
16,25702,0,0,0,0,0,0,0
16,25702,1,186159,0,768000,3145728000,0,0
16,25701,0,0,0,0,0,0,0
16,25701,1,534880,0,3145728,12884901888,0,0
17,25702,0,0,0,0,0,0,0
17,25702,1,186159,0,768000,3145728000,0,0
17,25701,0,0,0,0,0,0,0
17,25701,1,534880,0,3145728,12884901888,0,0
18,25702,0,0,0,0,0,0,0
18,25702,1,186159,0,768000,3145728000,0,0
18,25701,0,0,0,0,0,0,0
18,25701,1,534880,0,3145728,12884901888,0,0
19,25702,0,0,0,0,0,0,0
