Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,25853,0,0,0,0,0,0,0
0,25853,1,33795,0,128000,524288000,0,0
0,25854,0,0,0,0,0,0,0
0,25854,1,144126,0,842240,3456106496,0,0
1,25853,0,0,0,0,0,0,0
1,25853,1,33795,0,128000,524288000,0,0
1,25854,0,0,0,0,0,0,0
1,25854,1,467090,0,2723584,11156848640,0,0
2,25853,0,0,0,0,0,0,0
2,25853,1,33795,0,128000,524288000,0,0
2,25854,0,0,0,0,0,0,0
2,25854,1,539297,0,3145728,12884901888,0,0
3,25853,0,0,0,0,0,0,0
3,25853,1,63785,0,256000,1048576000,0,0
3,25854,0,0,0,0,0,0,0
3,25854,1,539297,0,3145728,12884901888,0,0
4,25853,0,0,0,0,0,0,0
4,25853,1,63785,0,256000,1048576000,0,0
4,25854,0,0,0,0,0,0,0
4,25854,1,539297,0,3145728,12884901888,0,0
5,25853,0,0,0,0,0,0,0
5,25853,1,63785,0,256000,1048576000,0,0
5,25854,0,0,0,0,0,0,0
5,25854,1,539297,0,3145728,12884901888,0,0
6,25853,0,0,0,0,0,0,0
6,25853,1,94863,0,384000,1572864000,0,0
6,25854,0,0,0,0,0,0,0
6,25854,1,539297,0,3145728,12884901888,0,0
7,25853,0,0,0,0,0,0,0
7,25853,1,94863,0,384000,1572864000,0,0
7,25854,0,0,0,0,0,0,0
7,25854,1,539297,0,3145728,12884901888,0,0
8,25853,0,0,0,0,0,0,0
8,25853,1,94863,0,384000,1572864000,0,0
8,25854,0,0,0,0,0,0,0
8,25854,1,539297,0,3145728,12884901888,0,0
9,25853,0,0,0,0,0,0,0
9,25853,1,126678,0,512000,2097152000,0,0
9,25854,0,0,0,0,0,0,0
9,25854,1,539297,0,3145728,12884901888,0,0
10,25853,0,0,0,0,0,0,0
10,25853,1,126678,0,512000,2097152000,0,0
10,25854,0,0,0,0,0,0,0
10,25854,1,539297,0,3145728,12884901888,0,0
11,25853,0,0,0,0,0,0,0
11,25853,1,126678,0,512000,2097152000,0,0
11,25854,0,0,0,0,0,0,0
11,25854,1,539297,0,3145728,12884901888,0,0
12,25853,0,0,0,0,0,0,0
12,25853,1,157718,0,640000,2621440000,0,0
12,25854,0,0,0,0,0,0,0
12,25854,1,539297,0,3145728,12884901888,0,0
13,25853,0,0,0,0,0,0,0
13,25853,1,157718,0,640000,2621440000,0,0
13,25854,0,0,0,0,0,0,0
13,25854,1,539297,0,3145728,12884901888,0,0
14,25853,0,0,0,0,0,0,0
14,25853,1,157718,0,640000,2621440000,0,0
