Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,33353,0,0,0,0,0,0,0
0,33353,1,32687,0,128000,524288000,0,0
0,33354,0,0,0,0,0,0,0
0,33354,1,89751,0,523136,2147483648,0,0
1,33353,0,0,0,0,0,0,0
1,33353,1,32687,0,128000,524288000,0,0
1,33354,0,0,0,0,0,0,0
1,33354,1,402339,0,2354176,9646899200,0,0
2,33353,0,0,0,0,0,0,0
2,33353,1,32687,0,128000,524288000,0,0
2,33354,0,0,0,0,0,0,0
2,33354,1,533740,0,3145728,12884901888,0,0
3,33353,0,0,0,0,0,0,0
3,33353,1,64126,0,256000,1048576000,0,0
3,33354,0,0,0,0,0,0,0
3,33354,1,533740,0,3145728,12884901888,0,0
4,33353,0,0,0,0,0,0,0
4,33353,1,64126,0,256000,1048576000,0,0
4,33354,0,0,0,0,0,0,0
4,33354,1,533740,0,3145728,12884901888,0,0
5,33353,0,0,0,0,0,0,0
5,33353,1,64126,0,256000,1048576000,0,0
5,33354,0,0,0,0,0,0,0
5,33354,1,533740,0,3145728,12884901888,0,0
6,33353,0,0,0,0,0,0,0
6,33353,1,94734,0,384000,1572864000,0,0
6,33354,0,0,0,0,0,0,0
6,33354,1,533740,0,3145728,12884901888,0,0
7,33353,0,0,0,0,0,0,0
7,33353,1,94734,0,384000,1572864000,0,0
7,33354,0,0,0,0,0,0,0
7,33354,1,533740,0,3145728,12884901888,0,0
8,33353,0,0,0,0,0,0,0
8,33353,1,94734,0,384000,1572864000,0,0
8,33354,0,0,0,0,0,0,0
8,33354,1,533740,0,3145728,12884901888,0,0
9,33353,0,0,0,0,0,0,0
9,33353,1,123519,0,495040,2051014656,0,0
9,33354,0,0,0,0,0,0,0
9,33354,1,533740,0,3145728,12884901888,0,0
10,33353,0,0,0,0,0,0,0
10,33353,1,126747,0,512000,2097152000,0,0
10,33354,0,0,0,0,0,0,0
10,33354,1,533740,0,3145728,12884901888,0,0
11,33353,0,0,0,0,0,0,0
11,33353,1,126747,0,512000,2097152000,0,0
11,33354,0,0,0,0,0,0,0
11,33354,1,533740,0,3145728,12884901888,0,0
12,33353,0,0,0,0,0,0,0
12,33353,1,126747,0,512000,2097152000,0,0
12,33354,0,0,0,0,0,0,0
12,33354,1,533740,0,3145728,12884901888,0,0
13,33353,0,0,0,0,0,0,0
13,33353,1,155625,0,640000,2621440000,0,0
13,33354,0,0,0,0,0,0,0
13,33354,1,533740,0,3145728,12884901888,0,0
14,33353,0,0,0,0,0,0,0
14,33353,1,155625,0,640000,2621440000,0,0
14,33354,0,0,0,0,0,0,0
14,33354,1,533740,0,3145728,12884901888,0,0
15,33353,0,0,0,0,0,0,0
15,33353,1,155625,0,640000,2621440000,0,0
15,33354,0,0,0,0,0,0,0
15,33354,1,533740,0,3145728,12884901888,0,0
16,33353,0,0,0,0,0,0,0
16,33353,1,186735,0,768000,3145728000,0,0
16,33354,0,0,0,0,0,0,0
16,33354,1,533740,0,3145728,12884901888,0,0
17,33353,0,0,0,0,0,0,0
17,33353,1,186735,0,768000,3145728000,0,0
17,33354,0,0,0,0,0,0,0
17,33354,1,533740,0,3145728,12884901888,0,0
18,33353,0,0,0,0,0,0,0
18,33353,1,186735,0,768000,3145728000,0,0
18,33354,0,0,0,0,0,0,0
18,33354,1,533740,0,3145728,12884901888,0,0
19,33353,0,0,0,0,0,0,0
19,33353,1,220257,0,896000,3670016000,195035136,0
19,33354,0,0,0,691968,3755999232,0,0
19,33354,1,547611,916992,2453760,12689866752,0,0
20,33353,0,0,0,0,0,0,0
20,33353,1,220257,0,896000,3670016000,195035136,0
20,33354,0,0,0,891443,7142899712,0,0
20,33354,1,578436,1743872,2254286,12689866752,0,0
21,33353,0,0,0,0,0,0,0
21,33353,1,220257,0,896000,3670016000,195035136,0
21,33354,0,0,0,870449,10114564096,0,0
21,33354,1,608973,2469376,2275279,12689866752,0,0
22,33353,0,0,0,0,0,0,0
22,33353,1,220257,0,896000,3670016000,195035136,0
22,33354,0,0,0,867536,12884901888,0,0
22,33354,1,637871,3210240,2278192,12689866752,0,0
23,33353,0,0,0,0,0,0,0
23,33353,1,229034,0,933088,3850371072,375390208,0
23,33354,0,0,0,1166224,12884901888,0,0
23,33354,1,662704,4109024,1979504,12507414528,0,0
24,33353,0,0,0,0,0,0,0
24,33353,1,243357,0,986400,4053794816,578813952,0
24,33354,0,0,0,1612608,12884901888,0,0
24,33354,1,684876,5080304,1533120,12306087936,0,0
25,33353,0,0,0,0,0,0,0
25,33353,1,248363,0,1006592,4123000832,648019968,0
25,33354,0,0,0,2105472,12884901888,0,0
25,33354,1,706542,6079728,1040256,12236881920,0,0
26,33353,0,0,0,0,0,0,0
26,33353,1,251747,0,1024000,4194304000,719323136,0
26,33354,0,0,0,2274640,12884901888,0,0
26,33354,1,733427,6891856,871088,12165578752,0,0
27,33353,0,0,0,0,0,0,0
27,33353,1,251747,0,1024000,4194304000,719323136,0
27,33354,0,0,0,2321296,12884901888,0,0
27,33354,1,764251,7621600,824432,12165578752,0,0
28,33353,0,0,0,0,0,0,0
28,33353,1,251747,0,1024000,4194304000,719323136,0
28,33354,0,0,0,2292672,12884901888,0,0
28,33354,1,792553,8299056,853056,12165578752,0,0
29,33353,0,0,0,0,0,0,0
29,33353,1,251747,0,1024000,4194304000,719323136,0
29,33354,0,0,0,2330304,12884901888,0,0
29,33354,1,825773,9021536,815424,12165578752,0,0
30,33353,0,0,0,0,0,0,0
30,33353,1,251747,0,1024000,4194304000,719323136,0
30,33354,0,0,0,2307008,12884901888,0,0
30,33354,1,859957,9711616,838720,12163481600,0,0
31,33353,0,0,0,0,0,0,0
31,33353,1,260506,0,1059136,4351590400,876609536,0
31,33354,0,0,0,2374896,12884901888,0,0
31,33354,1,893699,10446336,770832,12008292352,0,0
32,33353,0,0,0,0,0,0,0
32,33353,1,265489,0,1079296,4420796416,945815552,0
32,33354,0,0,0,2372752,12884901888,0,0
32,33354,1,925764,11149024,772976,11939086336,0,0
33,33353,0,0,0,0,0,0,0
33,33353,1,280083,0,1134592,4647288832,1172307968,0
33,33354,0,0,0,2551680,12884901888,0,0
33,33354,1,957665,11918592,594048,11712593920,0,0
34,33353,0,0,0,0,0,0,0
34,33353,1,283163,0,1152000,4718592000,1243611136,0
34,33354,0,0,0,2623776,12884901888,0,0
34,33354,1,993860,12632224,521952,11641290752,0,0
35,33353,0,0,0,0,0,0,0
35,33353,1,283163,0,1152000,4718592000,1243611136,0
35,33354,0,0,0,2682160,12884901888,0,0
35,33354,1,1030735,13316560,463568,11641290752,0,0
36,33353,0,0,0,0,0,0,0
