Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,21000,0,0,0,0,0,0,0
0,21000,1,9540,0,180736,740294656,0,0
1,21025,0,0,0,0,0,0,0
1,21025,1,0,0,0,0,0,0
2,21035,0,0,0,0,0,0,0
2,21035,1,45777,0,862720,3533701120,0,0
3,21349,0,0,0,0,0,0,0
3,21349,1,6991,0,128000,524288000,0,0
4,21349,0,0,0,0,0,0,0
4,21349,1,6991,0,128000,524288000,0,0
5,21349,0,0,0,0,0,0,0
5,21349,1,6991,0,128000,524288000,0,0
6,21349,0,0,0,0,0,0,0
6,21349,1,6991,0,128000,524288000,0,0
7,21349,0,0,0,0,0,0,0
7,21349,1,6991,0,128000,524288000,0,0
8,21349,0,0,0,0,0,0,0
8,21349,1,6991,0,128000,524288000,0,0
9,21349,0,0,0,0,0,0,0
9,21349,1,6991,0,128000,524288000,0,0
10,21349,0,0,0,0,0,0,0
10,21349,1,6991,0,128000,524288000,0,0
11,21349,0,0,0,0,0,0,0
11,21349,1,6991,0,128000,524288000,0,0
12,21370,0,0,0,0,0,0,0
12,21370,1,0,0,0,0,0,0
13,21370,0,0,0,0,0,0,0
13,21370,1,109043,0,2048000,8388608000,0,0
14,21370,0,0,0,0,0,0,0
14,21370,1,109043,0,2048000,8388608000,0,0
15,21370,0,0,0,0,0,0,0
15,21370,1,109043,0,2048000,8388608000,0,0
16,21370,0,0,0,0,0,0,0
16,21370,1,109043,0,2048000,8388608000,0,0
17,21370,0,0,0,0,0,0,0
17,21370,1,109043,0,2048000,8388608000,0,0
18,21370,0,0,0,0,0,0,0
18,21370,1,109043,0,2048000,8388608000,0,0
19,21370,0,0,0,0,0,0,0
19,21370,1,109043,0,2048000,8388608000,0,0
