Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,129361,0,0,0,0,0,0,0
0,129361,1,0,0,0,0,0,0
0,129359,0,0,0,0,0,0,0
0,129359,1,0,0,0,0,0,0
0,129360,0,0,0,0,0,0,0
0,129360,1,0,0,0,0,0,0
1,129361,0,0,0,0,0,0,0
1,129361,1,5099,0,104960,429916160,0,0
1,129359,0,0,0,0,0,0,0
1,129359,1,1001,0,31744,130023424,0,0
1,129360,0,0,0,0,0,0,0
1,129360,1,10850,0,230912,945815552,0,0
2,129361,0,0,0,0,0,0,0
2,129361,1,10323,0,212480,870318080,0,0
2,129359,0,0,0,0,0,0,0
2,129359,1,2377,0,73728,301989888,0,0
2,129360,0,0,0,0,0,0,0
2,129360,1,22298,0,480256,1967128576,0,0
3,129361,0,0,0,0,0,0,0
3,129361,1,15563,0,320000,1310720000,0,0
3,129359,0,0,0,0,0,0,0
3,129359,1,3421,0,104960,429916160,0,0
3,129360,0,0,0,0,0,0,0
3,129360,1,24272,0,524288,2147483648,0,0
4,129361,0,0,0,0,0,0,0
4,129361,1,20956,0,430080,1761607680,0,0
4,129359,0,0,0,0,0,0,0
4,129359,1,4491,0,136704,559939584,0,0
4,129360,0,0,0,0,0,0,0
4,129360,1,24272,0,524288,2147483648,0,0
5,129361,0,0,0,0,0,0,0
5,129361,1,26329,0,540160,2212495360,0,0
5,129359,0,0,0,0,0,0,0
5,129359,1,5586,0,167936,687865856,0,0
5,129360,0,0,0,0,0,0,0
5,129360,1,24272,0,524288,2147483648,0,0
6,129361,0,0,0,0,0,0,0
6,129361,1,31698,0,650240,2663383040,0,0
6,129359,0,0,0,0,0,0,0
6,129359,1,6599,0,199680,817889280,0,0
6,129360,0,0,0,0,0,0,0
6,129360,1,24272,0,524288,2147483648,0,0
7,129361,0,0,0,0,0,0,0
7,129361,1,37064,0,760320,3114270720,0,0
7,129359,0,0,0,0,0,0,0
7,129359,1,7703,0,230912,945815552,0,0
7,129360,0,0,0,0,0,0,0
7,129360,1,24272,0,524288,2147483648,0,0
8,129361,0,0,0,0,0,0,0
8,129361,1,42184,0,865280,3544186880,0,0
8,129359,0,0,0,0,0,0,0
8,129359,1,8672,0,262656,1075838976,0,0
8,129360,0,0,0,0,0,0,0
8,129360,1,24272,0,524288,2147483648,0,0
9,129361,0,0,0,0,0,0,0
9,129361,1,47560,0,975360,3995074560,0,0
9,129359,0,0,0,0,0,0,0
9,129359,1,10092,0,304128,1245708288,0,0
9,129360,0,0,0,0,0,0,0
9,129360,1,24272,0,524288,2147483648,0,0
10,129361,0,0,0,74576,387973120,0,0
10,129361,1,54241,94720,974000,3992977408,0,0
10,129359,0,0,0,0,0,0,0
10,129359,1,11057,0,335872,1375731712,130023424,0
10,129360,0,0,0,0,0,0,0
10,129360,1,24272,0,524288,2147483648,0,0
11,129361,0,0,0,108432,832569344,0,0
11,129361,1,66620,203264,940144,3865051136,0,0
11,129359,0,0,0,0,0,0,0
11,129359,1,12146,0,367104,1503657984,257949696,0
11,129360,0,0,0,0,0,0,0
11,129360,1,24272,0,524288,2147483648,0,0
12,129361,0,0,0,136192,1266679808,0,0
12,129361,1,78414,309248,912384,3737124864,0,0
12,129359,0,0,0,0,0,0,0
12,129359,1,13243,0,398336,1631584256,385875968,0
12,129360,0,0,0,0,0,0,0
12,129360,1,24272,0,524288,2147483648,0,0
13,129361,0,0,0,162032,1694498816,0,0
13,129361,1,90933,413696,886544,3632267264,0,0
13,129359,0,0,0,0,0,0,0
13,129359,1,14076,0,423936,1736441856,490733568,0
13,129360,0,0,0,0,0,0,0
13,129360,1,24272,0,524288,2147483648,0,0
14,129361,0,0,0,189312,2128609280,0,0
14,129361,1,103524,519680,859264,3521118208,0,0
14,129359,0,0,0,0,0,0,0
14,129359,1,14967,0,451072,1847590912,601882624,0
14,129360,0,0,0,0,0,0,0
14,129360,1,24272,0,524288,2147483648,0,0
15,129361,0,0,0,220672,2579496960,0,0
15,129361,1,115552,629760,827904,3391094784,0,0
15,129359,0,0,0,0,0,0,0
15,129359,1,15974,0,482816,1977614336,731906048,0
15,129360,0,0,0,0,0,0,0
15,129360,1,24272,0,524288,2147483648,0,0
16,129361,0,0,0,252160,3030384640,0,0
16,129361,1,128314,739840,796416,3263168512,0,0
16,129359,0,0,0,0,0,0,0
16,129359,1,17107,0,514048,2105540608,859832320,0
16,129360,0,0,0,0,0,0,0
16,129360,1,24272,0,524288,2147483648,0,0
17,129361,0,0,0,283136,3479175168,0,0
17,129361,1,140132,849408,765440,3135242240,0,0
17,129359,0,0,0,0,0,0,0
17,129359,1,18083,0,545280,2233466880,987758592,0
17,129360,0,0,0,0,0,0,0
17,129360,1,24272,0,524288,2147483648,0,0
18,129361,0,0,0,318992,3930062848,0,0
18,129361,1,152760,959488,729584,3005218816,0,0
18,129359,0,0,0,0,0,0,0
18,129359,1,19181,0,577024,2363490304,1117782016,0
18,129360,0,0,0,0,0,0,0
18,129360,1,24272,0,524288,2147483648,0,0
19,129361,0,0,0,351040,4294967296,0,0
19,129361,1,164991,1070080,697549,2877292544,0,0
19,129359,0,0,0,0,0,0,0
19,129359,1,20181,0,608256,2491416576,1245708288,0
19,129360,0,0,0,0,0,0,0
19,129360,1,24272,0,524288,2147483648,0,0
20,129361,0,0,0,380032,4294967296,0,0
20,129361,1,178056,1180160,668544,2747269120,0,0
20,129359,0,0,0,0,0,0,0
20,129359,1,21216,0,640000,2621440000,1375731712,0
20,129360,0,0,0,0,0,0,0
20,129360,1,24272,0,524288,2147483648,0,0
21,129361,0,0,0,394352,4294967296,0,0
21,129361,1,190031,1270272,654224,2686451712,8388608,0
21,129359,0,0,0,16384,67108864,0,0
21,129359,1,22215,16384,654848,2682257408,1444937728,0
21,129360,0,0,0,0,0,0,0
21,129360,1,24272,0,524288,2147483648,0,0
22,129361,0,0,0,392704,4294967296,0,0
22,129361,1,201730,1347072,655872,2686451712,20971520,0
22,129359,0,0,0,48128,197132288,0,0
22,129359,1,23269,48128,654848,2682257408,1457520640,0
22,129360,0,0,0,0,0,0,0
22,129360,1,24272,0,524288,2147483648,0,0
23,129361,0,0,0,392960,4294967296,0,0
23,129361,1,214466,1425920,655616,2686451712,33554432,0
23,129359,0,0,0,79360,325058560,0,0
23,129359,1,24288,79360,654848,2682257408,1470103552,0
23,129360,0,0,0,0,0,0,0
23,129360,1,24272,0,524288,2147483648,0,0
24,129361,0,0,0,395696,4294967296,0,0
24,129361,1,226236,1504256,652880,2686451712,46137344,0
24,129359,0,0,0,111104,455081984,0,0
24,129359,1,25424,111104,654848,2682257408,1482686464,0
24,129360,0,0,0,0,0,0,0
24,129360,1,24272,0,524288,2147483648,0,0
25,129361,0,0,0,393088,4294967296,0,0
25,129361,1,238698,1577984,655488,2686451712,58720256,0
25,129359,0,0,0,142336,583008256,0,0
25,129359,1,26424,142336,654848,2682257408,1495269376,0
25,129360,0,0,0,0,0,0,0
25,129360,1,24272,0,524288,2147483648,0,0
26,129361,0,0,0,392704,4294967296,0,0
26,129361,1,251210,1656320,655872,2686451712,71303168,0
26,129359,0,0,0,173568,710934528,0,0
26,129359,1,27474,173568,654848,2682257408,1507852288,0
26,129360,0,0,0,0,0,0,0
26,129360,1,24272,0,524288,2147483648,0,0
