Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,128805,0,0,0,0,0,0,0
0,128805,1,0,0,0,0,0,0
0,128803,0,0,0,0,0,0,0
0,128803,1,0,0,0,0,0,0
0,128804,0,0,0,0,0,0,0
0,128804,1,0,0,0,0,0,0
1,128805,0,0,0,0,0,0,0
1,128805,1,5101,0,104960,429916160,0,0
1,128803,0,0,0,0,0,0,0
1,128803,1,1005,0,31744,130023424,0,0
1,128804,0,0,0,0,0,0,0
1,128804,1,11435,0,241664,989855744,0,0
2,128805,0,0,0,0,0,0,0
2,128805,1,10460,0,215040,880803840,0,0
2,128803,0,0,0,0,0,0,0
2,128803,1,2374,0,73728,301989888,0,0
2,128804,0,0,0,0,0,0,0
2,128804,1,23484,0,501248,2053111808,0,0
3,128805,0,0,0,0,0,0,0
3,128805,1,15820,0,325120,1331691520,0,0
3,128803,0,0,0,0,0,0,0
3,128803,1,3396,0,104960,429916160,0,0
3,128804,0,0,0,0,0,0,0
3,128804,1,24289,0,524288,2147483648,0,0
4,128805,0,0,0,0,0,0,0
4,128805,1,20981,0,430080,1761607680,0,0
4,128803,0,0,0,0,0,0,0
4,128803,1,4467,0,136704,559939584,0,0
4,128804,0,0,0,0,0,0,0
4,128804,1,24289,0,524288,2147483648,0,0
5,128805,0,0,0,0,0,0,0
5,128805,1,26324,0,540160,2212495360,0,0
5,128803,0,0,0,0,0,0,0
5,128803,1,5527,0,167936,687865856,0,0
5,128804,0,0,0,0,0,0,0
5,128804,1,24289,0,524288,2147483648,0,0
6,128805,0,0,0,0,0,0,0
6,128805,1,31693,0,650240,2663383040,0,0
6,128803,0,0,0,0,0,0,0
6,128803,1,6540,0,199680,817889280,0,0
6,128804,0,0,0,0,0,0,0
6,128804,1,24289,0,524288,2147483648,0,0
7,128805,0,0,0,0,0,0,0
7,128805,1,37062,0,760320,3114270720,0,0
7,128803,0,0,0,0,0,0,0
7,128803,1,7646,0,230912,945815552,0,0
7,128804,0,0,0,0,0,0,0
7,128804,1,24289,0,524288,2147483648,0,0
8,128805,0,0,0,0,0,0,0
8,128805,1,42434,0,870400,3565158400,0,0
8,128803,0,0,0,0,0,0,0
8,128803,1,8616,0,262656,1075838976,0,0
8,128804,0,0,0,0,0,0,0
8,128804,1,24289,0,524288,2147483648,0,0
9,128805,0,0,0,0,0,0,0
9,128805,1,48054,0,985600,4037017600,0,0
9,128803,0,0,0,0,0,0,0
9,128803,1,10030,0,304128,1245708288,0,0
9,128804,0,0,0,0,0,0,0
9,128804,1,24289,0,524288,2147483648,0,0
10,128805,0,0,0,0,0,0,0
10,128805,1,51142,0,1048576,4294967296,0,0
10,128803,0,0,0,0,0,0,0
10,128803,1,10992,0,335872,1375731712,0,0
10,128804,0,0,0,0,0,0,0
10,128804,1,24289,0,524288,2147483648,0,0
11,128805,0,0,0,0,0,0,0
11,128805,1,51142,0,1048576,4294967296,0,0
11,128803,0,0,0,0,0,0,0
11,128803,1,12050,0,367104,1503657984,0,0
11,128804,0,0,0,0,0,0,0
11,128804,1,24289,0,524288,2147483648,0,0
12,128805,0,0,0,0,0,0,0
12,128805,1,51142,0,1048576,4294967296,0,0
12,128803,0,0,0,0,0,0,0
12,128803,1,13121,0,398848,1633681408,0,0
12,128804,0,0,0,0,0,0,0
12,128804,1,24289,0,524288,2147483648,0,0
13,128805,0,0,0,0,0,0,0
13,128805,1,51142,0,1048576,4294967296,0,0
13,128803,0,0,0,0,0,0,0
13,128803,1,14162,0,430080,1761607680,0,0
13,128804,0,0,0,0,0,0,0
13,128804,1,24289,0,524288,2147483648,0,0
14,128805,0,0,0,0,0,0,0
14,128805,1,51142,0,1048576,4294967296,0,0
14,128803,0,0,0,0,0,0,0
14,128803,1,15187,0,461824,1891631104,0,0
14,128804,0,0,0,0,0,0,0
14,128804,1,24289,0,524288,2147483648,0,0
15,128805,0,0,0,0,0,0,0
15,128805,1,51142,0,1048576,4294967296,0,0
15,128803,0,0,0,0,0,0,0
15,128803,1,16657,0,503808,2063597568,0,0
15,128804,0,0,0,0,0,0,0
15,128804,1,24289,0,524288,2147483648,0,0
16,128805,0,0,0,0,0,0,0
16,128805,1,51142,0,1048576,4294967296,0,0
16,128803,0,0,0,0,0,0,0
16,128803,1,17652,0,535040,2191523840,0,0
16,128804,0,0,0,0,0,0,0
16,128804,1,24289,0,524288,2147483648,0,0
17,128805,0,0,0,0,0,0,0
17,128805,1,51142,0,1048576,4294967296,0,0
17,128803,0,0,0,0,0,0,0
17,128803,1,18702,0,566272,2319450112,0,0
17,128804,0,0,0,0,0,0,0
